id,katakunci,kode
1,aba,A300A
2,abaaba,A300A
3,abab,A300B
4,abad,A330D
5,abadi,A330I
6,abadiah,A332H
7,abadikan,A333N
8,abah,A320H
9,abahabah,A320H
10,abai,A300I
11,abaian,A350N
12,abaikan,A335N
13,abaimana,A355A
14,abaka,A330A
15,abaktinal,A333L
16,abakus,A332S
17,abal,A340L
18,abalabal,A340L
19,abampere,A353E
20,aban,A350N
21,abang,A353G
22,abangan,A353N
23,abangga,A353A
24,abangmu,A353U
25,abangnya,A353A
26,abar,A360R
27,abarabar,A360R
28,abaran,A365N
29,abas,A320S
30,abate,A330E
31,abatisasi,A332I
32,abatoar,A336R
33,abau,A300U
34,abc,A330C
35,abdas,A332S
36,abdi,A330I
37,abdikasi,A333I
38,abdinya,A335A
39,abdomen,A335N
40,abdomennya,A335A
41,abdominal,A335L
42,abdu,A330U
43,abduh,A332H
44,abduksi,A333I
45,abduktor,A333R
46,abdul,A334L
47,abdulah,A334H
48,abdullah,A334H
49,abdurrahman,A336N
50,abece,A330E
51,abelum,A345M
52,aben,A350N
53,aberasi,A362I
54,abet,A330T
55,abi,A300I
56,abid,A330D
57,abidin,A335N
58,abilah,A342H
59,abing,A353G
60,abiogenesis,A335S
61,abiosfer,A322R
62,abiotik,A333K
63,abis,A320S
64,abisal,A324L
65,abiseka,A323A
66,abiturien,A336N
67,abjad,A333D
68,abjadiah,A333H
69,ablaif,A342F
70,ablasi,A342I
71,ablaut,A343T
72,ablepsia,A343A
73,ablusi,A342I
74,abnormal,A356L
75,abnormalitas,A356S
76,abnus,A352S
77,aboi,A300I
78,abolisi,A342I
79,abomasum,A352M
80,abon,A350N
81,abonemen,A355N
82,abong,A353G
83,abongabong,A353G
84,aboral,A364L
85,aborsi,A362I
86,abortif,A363F
87,abortiva,A363A
88,abortus,A363S
89,abraham,A362M
90,abrak,A363K
91,abrakadabra,A363A
92,abrar,A360R
93,abras,A362S
94,abrasi,A362I
95,abreaksi,A363I
96,abrek,A363K
97,abreviasi,A362I
98,abri,A360I
99,abrik,A363K
100,abrikos,A363S
101,abrin,A365N
102,abritabritan,A363N
103,abrosfer,A362R
104,abrupsi,A363I
105,abrus,A362S
106,absah,A322H
107,absen,A325N
108,absensi,A325I
109,absensia,A325A
110,absente,A325E
111,absenteisme,A325E
112,abses,A320S
113,absis,A320S
114,absisi,A320I
115,absit,A323T
116,absolusi,A324I
117,absolut,A324T
118,absolutisme,A324E
119,absonan,A325N
120,absorbat,A326T
121,absorben,A326N
122,absorbsi,A326I
123,absorbsivitas,A326S
124,absorpsi,A326I
125,absorpsiometer,A326R
126,absorptans,A326S
127,absorptansi,A326I
128,absorptif,A326F
129,absorsiometer,A326R
130,absortivitas,A326S
131,abstain,A323N
132,abstinensi,A323I
133,abstrak,A323K
134,abstraksi,A323I
135,abstraksionisme,A323E
136,abstraktif,A323F
137,absurd,A326D
138,absurdisme,A326E
139,absurditas,A326S
140,abtar,A336R
141,abu,A300U
142,abuabu,A300U
143,abuabuan,A350N
144,abuan,A350N
145,abubakar,A336R
146,abuh,A320H
147,abuhabuhan,A325N
148,abuhan,A325N
149,abuk,A330K
150,abukabuk,A330K
151,abul,A340L
152,abulhayat,A342T
153,abulia,A340A
154,abun,A350N
155,abunabun,A350N
156,abunya,A351A
157,abur,A360R
158,abus,A320S
159,abuya,A310A
160,ac,A300C
161,acah,A320H
162,acak,A330K
163,acakacak,A330K
164,acakacakan,A335N
165,acakan,A335N
166,acala,A340A
167,acan,A350N
168,acang,A353G
169,acangacang,A353G
170,acap,A330P
171,acapacap,A330P
172,acapkali,A333I
173,acar,A360R
174,acara,A360A
175,acaraku,A363U
176,acaram,A365M
177,acaranya,A365A
178,acat,A330T
179,acatan,A335N
180,acau,A300U
181,acawi,A310I
182,aceh,A320H
183,acerang,A365G
184,aci,A300I
185,aciaci,A300I
186,aciacian,A350N
187,acian,A350N
188,acik,A330K
189,acikan,A335N
190,acinya,A351A
191,aco,A300O
192,acoacoan,A350N
193,acoan,A350N
194,acu,A300U
195,acuan,A350N
196,acuannya,A351A
197,acuh,A320H
198,acuhan,A325N
199,acuhnya,A325A
200,acukan,A335N
201,acum,A350M
202,acuman,A355N
203,acung,A353G
204,acungkan,A353N
205,ada,A300A
206,adaadanya,A351A
207,adab,A330B
208,adabiah,A332H
209,adad,A300D
210,adagio,A330O
211,adagium,A335M
212,adahah,A320H
213,adaibadai,A330I
214,adakah,A332H
215,adakala,A334A
216,adakalanya,A334A
217,adakan,A335N
218,adakanlah,A335H
219,adaks,A332S
220,adaktil,A333L
221,adalah,A342H
222,adalat,A343T
223,adam,A350M
224,adan,A350N
225,adang,A353G
226,adangadang,A353G
227,adanya,A351A
228,adanyakah,A351H
229,adap,A330P
230,adapadapan,A335N
231,adapan,A335N
232,adaptabel,A333L
233,adaptabilitas,A333S
234,adaptasi,A333I
235,adapter,A333R
236,adaptif,A333F
237,adaptometer,A333R
238,adaptor,A333R
239,adapun,A335N
240,adar,A360R
241,adas,A320S
242,adat,A330T
243,adatadat,A330T
244,adatistiadat,A332T
245,adatistiadatnya,A332A
246,adati,A330I
247,adatlah,A334H
248,adatnya,A335A
249,ade,A300E
250,adegan,A335N
251,adegannya,A335A
252,adeh,A320H
253,adekuat,A333T
254,adem,A350M
255,adenase,A352E
256,adenda,A350A
257,adendum,A355M
258,adenia,A350A
259,adenin,A350N
260,adenina,A350A
261,adenoid,A350D
262,adenoma,A355A
263,adenosin,A352N
264,adenosis,A352S
265,adenostemma,A352A
266,adenotropik,A353K
267,adermin,A365N
268,adha,A320A
269,adhesi,A322I
270,adhesif,A322F
271,adi,A300I
272,adiabat,A333T
273,adiabatik,A333K
274,adiabatis,A333S
275,adiaktinik,A333K
276,adiasam,A325M
277,adib,A330B
278,adibangkit,A335T
279,adibibit,A333T
280,adibintang,A335G
281,adiboga,A333A
282,adibusana,A332A
283,adicita,A333A
284,adidaya,A310A
285,adigang,A335G
286,adiguna,A335A
287,adigung,A335G
288,adihablur,A323R
289,adik,A330K
290,adikadiknya,A335A
291,adikberadik,A333K
292,adika,A330A
293,adikadiknya,A335A
294,adikara,A336A
295,adikarya,A336A
296,adikasi,A332I
297,adikku,A330U
298,adikmu,A335U
299,adiknya,A335A
300,adikodrati,A336I
301,adikong,A335G
302,adiksi,A332I
303,adiktif,A333F
304,adikuasa,A332A
305,adil,A340L
306,adilan,A345N
307,adili,A340I
308,adilinya,A345A
309,adilkah,A343H
310,adillah,A342H
311,adilnya,A345A
312,adiluhung,A342G
313,adimarga,A356A
314,adimas,A352S
315,adina,A350A
316,adinamia,A355A
317,adinandra,A356A
318,adinda,A350A
319,adindaku,A353U
320,adinegoro,A353O
321,ading,A353G
322,adipati,A333I
323,adipenghantar,A335R
324,adiposa,A332A
325,adipositas,A332S
326,adipura,A336A
327,adiraja,A363A
328,adiratna,A363A
329,adiselektif,A324F
330,adisi,A320I
331,adisional,A325L
332,adisiswa,A321A
333,aditama,A335A
334,aditif,A332F
335,aditokoh,A333H
336,adiwangsa,A315A
337,adiwarna,A316A
338,adiwidia,A310A
339,adjektif,A333F
340,adjektiva,A333A
341,adjektival,A333L
342,adjuster,A332R
343,administrasi,A355I
344,administrasinya,A355A
345,administratif,A355F
346,administrator,A355R
347,administratur,A355R
348,admiral,A356L
349,admisi,A352I
350,admitans,A353S
351,adnan,A350N
352,adolesen,A342N
353,adolesens,A342S
354,adon,A350N
355,adonan,A350N
356,adonanmu,A355U
357,adonannya,A351A
358,adopsi,A332I
359,adoptif,A333F
360,adoral,A364L
361,adpokat,A333T
362,adrenal,A365L
363,adrenalektomi,A365I
364,adrenalin,A365N
365,adrenergik,A365K
366,adrenodoksin,A365N
367,adres,A362S
368,adresnya,A362A
369,adsorbat,A326T
370,adsorben,A326N
371,adsorpsi,A326I
372,adstringen,A323N
373,adu,A300U
374,aduan,A350N
375,aduh,A320H
376,aduhai,A320I
377,aduk,A330K
378,adukadukan,A335N
379,adukaduklah,A334H
380,adukan,A335N
381,adukkan,A335N
382,aduklah,A334H
383,aduksi,A332I
384,aduktor,A333R
385,adult,A343T
386,adun,A350N
387,aduna,A350A
388,adunan,A350N
389,adveksi,A323I
390,adven,A325N
391,advent,A325T
392,adventisia,A325A
393,adventisius,A325S
394,adverbia,A326A
395,adverbial,A326L
396,advertensi,A326I
397,advertorial,A326L
398,advis,A322S
399,advokasi,A323I
400,advokat,A323T
401,adzab,A323B
402,aedes,A320S
403,aerasi,A620I
404,aerator,A630R
405,aerial,A640L
406,aerob,A630B
407,aerobatik,A633K
408,aerobik,A633K
409,aerobika,A633A
410,aerobioskop,A632P
411,aerodinamik,A635K
412,aerodinamika,A635A
413,aerofisika,A622A
414,aerofisiologi,A622I
415,aerofon,A625N
416,aerograf,A632F
417,aerogram,A635M
418,aerolit,A643T
419,aerologi,A643I
420,aerometer,A653R
421,aeromovel,A652L
422,aeronautika,A653A
423,aeronom,A655M
424,aeronomi,A655I
425,aeroplangton,A634N
426,aeroplankton,A634N
427,aeroskop,A623P
428,aerosol,A624L
429,aerostat,A623T
430,aerostatika,A623A
431,aeroterapia,A633A
432,aerotonometer,A635R
433,aeruginosa,A635A
434,afair,A260R
435,afal,A240L
436,afasia,A220A
437,afdal,A234L
438,afdeling,A234G
439,afdol,A234L
440,afdruk,A236K
441,afek,A230K
442,afeksi,A232I
443,afektif,A233F
444,afektifemosional,A233L
445,afektit,A233T
446,aferesis,A262S
447,afganistan,A235N
448,afiat,A230T
449,afidavit,A232T
450,afiks,A232S
451,afiksasi,A232I
452,afiliasi,A242I
453,afinitas,A253S
454,afirmasi,A265I
455,afirmatif,A265F
456,afonia,A250A
457,aforisme,A262E
458,afotik,A233K
459,afp,A230P
460,afrasia,A262A
461,afrika,A263A
462,afrit,A263T
463,afro,A260O
464,afrodisiak,A263K
465,afsun,A225N
466,afwa,A210A
467,agah,A320H
468,agak,A330K
469,agakagak,A330K
470,agakagih,A332H
471,agakan,A335N
472,agaknya,A335A
473,agal,A340L
474,agam,A350M
475,agama,A350A
476,agamais,A352S
477,agamaisme,A352E
478,agamaku,A353U
479,agamamu,A350U
480,agamanya,A355A
481,agamawan,A351N
482,agamawi,A351I
483,agamen,A355N
484,agamet,A353T
485,agami,A350I
486,agamogenesis,A355S
487,agan,A350N
488,agape,A330E
489,agar,A360R
490,agaragar,A360R
491,agas,A320S
492,agen,A350N
493,agenagennya,A351A
494,agenda,A353A
495,agendanya,A353A
496,agens,A352S
497,agentif,A353F
498,ageratum,A363M
499,agih,A320H
500,agihagih,A320H
501,agihan,A325N
502,agihkan,A323N
503,agil,A340L
504,agio,A300O
505,agiria,A360A
506,agitasi,A332I
507,agitatif,A332F
508,agitator,A336R
509,aglaia,A340A
510,aglaonema,A345A
511,aglikon,A343N
512,aglomerasi,A345I
513,aglomerat,A345T
514,aglonema,A345A
515,aglutinasi,A343I
516,aglutinat,A343T
517,aglutinatif,A343F
518,aglutinin,A343N
519,aglutinogen,A343N
520,agnosia,A352A
521,agnostik,A352K
522,agnostisisme,A352E
523,agogo,A300O
524,agometer,A353R
525,agon,A350N
526,agonia,A350A
527,agonis,A352S
528,agonistik,A352K
529,agorafobia,A362A
530,agradasi,A363I
531,agrafia,A362A
532,agraria,A360A
533,agraris,A362S
534,agregasi,A362I
535,agregat,A363T
536,agregatif,A363F
537,agresi,A362I
538,agresif,A362F
539,agresivitas,A362S
540,agresor,A362R
541,agressif,A362F
542,agrestal,A362L
543,agribisnis,A363S
544,agrikultur,A363R
545,agrioekologi,A363I
546,agriologi,A364I
547,agripnia,A363A
548,agrisilvikultur,A362R
549,agrobis,A363S
550,agrobisnis,A363S
551,agroekonomi,A363I
552,agroekosistem,A363M
553,agroekosistim,A363M
554,agrogeologi,A364I
555,agroikos,A363S
556,agroindustri,A365I
557,agrokimia,A363A
558,agroklimatologi,A363I
559,agrologi,A364I
560,agromania,A365A
561,agrometeorologi,A365I
562,agronom,A365M
563,agronomi,A365I
564,agropolitan,A363N
565,agrostologi,A362I
566,agrowisata,A361A
567,aguk,A330K
568,agul,A340L
569,agun,A350N
570,agunan,A350N
571,agunannya,A351A
572,agung,A350G
573,agungkan,A353N
574,agungkanlah,A353H
575,agunglah,A354H
576,agungnya,A351A
577,agus,A320S
578,agustus,A323S
579,agut,A330T
580,agutagut,A330T
581,ah,A200H
582,ahad,A230D
583,ahadiat,A233T
584,ahimsa,A252A
585,ahistoris,A223S
586,ahkam,A235M
587,ahkan,A235N
588,ahlan,A245N
589,ahli,A240I
590,ahliahli,A240I
591,ahlibahasa,A243A
592,ahlian,A245N
593,ahlinya,A245A
594,ahlulbait,A243T
595,ahlulkitab,A243B
596,ahlulkubur,A243R
597,ahlunnujum,A245M
598,ahlunujum,A245M
599,ahlusuluk,A242K
600,ahlusunah,A242H
601,ahmad,A253D
602,ahmak,A253K
603,ahmar,A256R
604,aho,A200O
605,ahsan,A225N
606,ahwal,A214L
607,ai,A000I
608,aiat,A300T
609,aib,A300B
610,aibku,A330U
611,aibnya,A351A
612,aiku,A300U
613,ail,A400L
614,ain,A500N
615,ainul,A540L
616,ainulbanat,A543T
617,ainulyakin,A541N
618,ainunjariah,A536H
619,air,A600R
620,airi,A600I
621,airilah,A642H
622,airku,A630U
623,airmani,A655I
624,airmata,A653A
625,airmu,A650U
626,airnya,A651A
627,airp,A630P
628,aisyah,A212H
629,aja,A300A
630,ajab,A330B
631,ajag,A330G
632,ajaib,A330B
633,ajaiban,A335N
634,ajaibkhanah,A333H
635,ajaibnya,A335A
636,ajak,A330K
637,ajakan,A335N
638,ajakanmu,A335U
639,ajakannya,A335A
640,ajaklah,A334H
641,ajal,A340L
642,ajalku,A343U
643,ajalnya,A345A
644,ajang,A353G
645,ajar,A360R
646,ajarajar,A360R
647,ajaran,A365N
648,ajaranajaran,A365N
649,ajaranku,A365U
650,ajaranmu,A365U
651,ajarannya,A365A
652,ajari,A360I
653,ajarilah,A364H
654,ajarkan,A363N
655,ajarkanlah,A363H
656,ajarkannya,A363A
657,ajarlah,A364H
658,ajeh,A320H
659,ajek,A330K
660,ajeng,A353G
661,ajengan,A353N
662,aji,A300I
663,ajiaji,A300I
664,ajigineng,A335G
665,ajir,A360R
666,ajiwaka,A313A
667,ajnabi,A353I
668,ajnas,A352S
669,ajojing,A353G
670,aju,A300U
671,ajuan,A350N
672,ajudan,A335N
673,ajudannya,A335A
674,ajufan,A325N
675,ajujah,A320H
676,ajuk,A330K
677,ajukan,A335N
678,ajukannya,A335A
679,ajun,A350N
680,ajung,A353G
681,ajungan,A353N
682,ajur,A360R
683,ajuster,A323R
684,akad,A330D
685,akademi,A335I
686,akademik,A335K
687,akademika,A335A
688,akademiknya,A335A
689,akademikus,A335S
690,akademis,A335S
691,akademisi,A335I
692,akademisnya,A335A
693,akaid,A330D
694,akak,A300K
695,akal,A340L
696,akalakalan,A345N
697,akali,A340I
698,akalilah,A342H
699,akalku,A340U
700,akalnya,A345A
701,akan,A350N
702,akanakan,A350N
703,akanan,A350N
704,akang,A353G
705,akankah,A352H
706,akantus,A353S
707,akapela,A334A
708,akar,A360R
709,akarakar,A360R
710,akarakaran,A365N
711,akaran,A365N
712,akarnya,A365A
713,akarologi,A364I
714,akas,A320S
715,akasia,A320A
716,akatalepsia,A334A
717,akbar,A336R
718,akene,A350E
719,akeo,A300O
720,akhbar,A323R
721,akherat,A326T
722,akhimya,A325A
723,akhir,A326R
724,akhirakhir,A326R
725,akhirakhirnya,A326A
726,akhiran,A326N
727,akhirat,A326T
728,akhiri,A326I
729,akhirin,A326N
730,akhirnya,A326A
731,akhirul,A326L
732,akhirulkalam,A326M
733,akhirusanah,A326H
734,akhirya,A326A
735,akhlak,A324K
736,akhlaki,A324I
737,akhlaknya,A324A
738,akhtaj,A323J
739,akhwan,A321N
740,akhwat,A321T
741,aki,A300I
742,akiaki,A300I
743,akibat,A333T
744,akibatkan,A333N
745,akibatnya,A333A
746,akidah,A332H
747,akik,A300K
748,akikah,A320H
749,akil,A340L
750,akilbalig,A343G
751,akinet,A353T
752,aking,A353G
753,aklamasi,A345I
754,aklasia,A342A
755,akli,A340I
756,akliah,A342H
757,aklimasi,A345I
758,aklimatisasi,A345I
759,akmal,A354L
760,akoelomata,A345A
761,akolade,A343E
762,akomodasi,A353I
763,akomodasinya,A353A
764,akomodatif,A353F
765,akor,A360R
766,akordeon,A363N
767,akrab,A363B
768,akrabnya,A363A
769,akreditasi,A363I
770,akreditisasi,A363I
771,akriflavina,A362A
772,akrilat,A364T
773,akrilik,A364K
774,akrobat,A363T
775,akrobatik,A363K
776,akrobatis,A363S
777,akrofobia,A362A
778,akromatik,A365K
779,akromatin,A365N
780,akromatoplasma,A365A
781,akromegali,A365I
782,akrometer,A365R
783,akromion,A365N
784,akromosom,A365M
785,akronim,A365M
786,akropetal,A363L
787,akropolis,A363S
788,akrosentrik,A362K
