kata alay,kode,kata kamus,sequence matcher,minimum edit distance,perbaikan kata,perbaikan kata 2
aaaaaaaaaaaaahhhhhhh,A200H,ah,0.182,18.0,ah,
aaasiapaaasiap,A230P,afp,0.235,12.0,afp,
aabid,A330D,abad,0.667,2.0,abid,
aabid,A330D,abid,0.889,1.0,abid,
aabid,A330D,akad,0.667,3.0,abid,
aabid,A330D,akaid,0.8,2.0,abid,
aadec,A330C,abc,0.5,3.0,abc,
aado,A300O,aco,0.571,2.0,aco,
aado,A300O,agio,0.5,2.0,aco,
aado,A300O,agogo,0.444,3.0,aco,
aado,A300O,akeo,0.5,2.0,aco,
aage,A300E,ade,0.571,2.0,ade,
aagr,A360R,abar,0.75,2.0,abar,
aagr,A360R,abarabar,0.5,5.0,abar,
aagr,A360R,abrar,0.667,3.0,abar,
aagr,A360R,abur,0.5,2.0,abar,
aagr,A360R,acar,0.75,2.0,abar,acar
aagr,A360R,adar,0.75,2.0,abar,adar
aagr,A360R,agar,0.75,2.0,abar,agar
aagr,A360R,agaragar,0.5,4.0,abar,
aagr,A360R,ajar,0.75,2.0,abar,ajar
aagr,A360R,ajarajar,0.5,5.0,abar,
aagr,A360R,ajir,0.5,2.0,abar,
aagr,A360R,ajur,0.5,2.0,abar,
aagr,A360R,akar,0.75,2.0,abar,akar
aagr,A360R,akarakar,0.5,5.0,abar,
aagr,A360R,akor,0.5,2.0,abar,
aah,A200H,ah,0.8,1.0,ah,
aahhh,A200H,ah,0.571,3.0,ah,
aaji,A300I,abai,0.75,2.0,aji,
aaji,A300I,abi,0.571,2.0,aji,
aaji,A300I,aboi,0.5,2.0,aji,
aaji,A300I,aci,0.571,2.0,aji,
aaji,A300I,aciaci,0.6,3.0,aji,
aaji,A300I,adi,0.571,2.0,aji,
aaji,A300I,aji,0.857,1.0,aji,
aaji,A300I,ajiaji,0.6,2.0,aji,
aaji,A300I,aki,0.571,2.0,aji,
aaji,A300I,akiaki,0.6,3.0,aji,
aal,A400L,ail,0.667,1.0,ail,
aasxsdlls,A223S,ahistoris,0.333,7.0,ahistoris,
aatek,A330K,abuk,0.444,3.0,acak,
aatek,A330K,abukabuk,0.462,5.0,acak,
aatek,A330K,acak,0.667,3.0,acak,
aatek,A330K,acakacak,0.462,5.0,acak,
aatek,A330K,acik,0.444,3.0,acak,
aatek,A330K,adik,0.444,3.0,acak,
aatek,A330K,aduk,0.444,3.0,acak,
aatek,A330K,agak,0.667,3.0,acak,agak
aatek,A330K,agakagak,0.462,5.0,acak,
aatek,A330K,aguk,0.444,3.0,acak,
aatek,A330K,ajak,0.667,3.0,acak,ajak
aatek,A330K,ajek,0.667,2.0,acak,
aatek,A330K,ajuk,0.444,3.0,acak,
ab,A300B,abab,0.667,2.0,aib,
ab,A300B,aib,0.8,1.0,aib,
abadai,A330I,abadi,0.909,1.0,abadi,
abadai,A330I,abdi,0.8,2.0,abadi,
abadai,A330I,adaibadai,0.8,3.0,abadi,
abadai,A330I,adati,0.727,3.0,abadi,
abaikansaja,A335A,abdinya,0.333,6.0,ajakannya,
abaikansaja,A335A,abdomennya,0.286,7.0,ajakannya,
abaikansaja,A335A,adatnya,0.333,7.0,ajakannya,
abaikansaja,A335A,adegannya,0.4,7.0,ajakannya,
abaikansaja,A335A,adiguna,0.222,7.0,ajakannya,
abaikansaja,A335A,adikadiknya,0.545,7.0,ajakannya,
abaikansaja,A335A,adikadiknya,0.545,7.0,ajakannya,
abaikansaja,A335A,adiknya,0.444,6.0,ajakannya,
abaikansaja,A335A,aditama,0.333,7.0,ajakannya,
abaikansaja,A335A,agaknya,0.444,6.0,ajakannya,
abaikansaja,A335A,ajaibnya,0.316,6.0,ajakannya,
abaikansaja,A335A,ajakannya,0.6,5.0,ajakannya,
abaikansaja,A335A,ajudannya,0.4,7.0,ajakannya,
abaikansaja,A335A,ajukannya,0.5,6.0,ajakannya,
abaikansaja,A335A,akademika,0.5,8.0,ajakannya,
abaikansaja,A335A,akademiknya,0.455,8.0,ajakannya,
abaikansaja,A335A,akademisnya,0.455,7.0,ajakannya,
abangda,A353A,abangga,0.857,1.0,abangga,
abangda,A353A,abangnya,0.8,2.0,abangga,
abangda,A353A,agenda,0.615,3.0,abangga,
abangda,A353A,agendanya,0.5,6.0,abangga,
abangda,A353A,akomodasinya,0.316,9.0,abangga,
abangg,A353G,abang,0.909,1.0,abang,
abangg,A353G,abing,0.727,2.0,abang,
abangg,A353G,abong,0.727,2.0,abang,
abangg,A353G,abongabong,0.625,5.0,abang,
abangg,A353G,acang,0.727,2.0,abang,
abangg,A353G,acangacang,0.625,5.0,abang,
abangg,A353G,acung,0.545,3.0,abang,
abangg,A353G,adang,0.727,2.0,abang,
abangg,A353G,adangadang,0.625,5.0,abang,
abangg,A353G,ading,0.545,3.0,abang,
abangg,A353G,ajang,0.727,2.0,abang,
abangg,A353G,ajeng,0.545,3.0,abang,
abangg,A353G,ajojing,0.462,5.0,abang,
abangg,A353G,ajung,0.545,3.0,abang,
abangg,A353G,akang,0.727,2.0,abang,
abangg,A353G,aking,0.545,3.0,abang,
abangku,A353U,abangmu,0.857,1.0,abangmu,
abangku,A353U,adindaku,0.533,4.0,abangmu,
abangku,A353U,agamaku,0.571,3.0,abangmu,
abank,A353K,adenotropik,0.375,8.0,adenotropik,
abazgukangen,A323N,abstain,0.421,8.0,agihkan,
abazgukangen,A323N,adstringen,0.455,7.0,agihkan,
abazgukangen,A323N,agihkan,0.526,8.0,agihkan,
abbas,A320S,abas,0.889,1.0,abas,
abbas,A320S,abis,0.667,2.0,abas,
abbas,A320S,abses,0.6,2.0,abas,
abbas,A320S,absis,0.6,2.0,abas,
abbas,A320S,abus,0.667,2.0,abas,
abbas,A320S,adas,0.667,2.0,abas,
abbas,A320S,aedes,0.4,3.0,abas,
abbas,A320S,agas,0.667,2.0,abas,
abbas,A320S,agus,0.444,3.0,abas,
abbas,A320S,akas,0.667,2.0,abas,
abbasali,A324I,absolusi,0.625,5.0,absolusi,
abbasali,A324I,akhlaki,0.4,5.0,absolusi,
abbe,A300E,ade,0.571,2.0,ade,
abbott,A330T,abet,0.6,3.0,abet,
abbott,A330T,acat,0.4,4.0,abet,
abbott,A330T,adat,0.4,4.0,abet,
abbott,A330T,adatadat,0.429,6.0,abet,
abbott,A330T,agut,0.4,4.0,abet,
abbott,A330T,agutagut,0.429,6.0,abet,
abdimah,A335H,adakanlah,0.5,6.0,adakanlah,
abdinegara,A335A,abdinya,0.706,4.0,abdinya,
abdinegara,A335A,abdomennya,0.5,5.0,abdinya,
abdinegara,A335A,adatnya,0.471,7.0,abdinya,
abdinegara,A335A,adegannya,0.632,6.0,abdinya,
abdinegara,A335A,adiguna,0.588,5.0,abdinya,
abdinegara,A335A,adikadiknya,0.476,8.0,abdinya,
abdinegara,A335A,adikadiknya,0.476,8.0,abdinya,
abdinegara,A335A,adiknya,0.588,6.0,abdinya,
abdinegara,A335A,aditama,0.588,5.0,abdinya,
abdinegara,A335A,agaknya,0.471,7.0,abdinya,
abdinegara,A335A,ajaibnya,0.444,7.0,abdinya,
abdinegara,A335A,ajakannya,0.316,8.0,abdinya,
abdinegara,A335A,ajudannya,0.421,7.0,abdinya,
abdinegara,A335A,ajukannya,0.316,8.0,abdinya,
abdinegara,A335A,akademika,0.421,7.0,abdinya,
abdinegara,A335A,akademiknya,0.476,8.0,abdinya,
abdinegara,A335A,akademisnya,0.476,8.0,abdinya,
abduk,A333K,abiotik,0.5,4.0,abiotik,
abduk,A333K,adiabatik,0.429,6.0,abiotik,
abduk,A333K,adiaktinik,0.4,8.0,abiotik,
abduk,A333K,adikberadik,0.5,7.0,abiotik,adikberadik
abe,A300E,ade,0.667,1.0,ade,
abee,A300E,ade,0.571,2.0,ade,
abel,A340L,abal,0.75,1.0,abal,
abel,A340L,abalabal,0.5,5.0,abal,
abel,A340L,abul,0.75,1.0,abal,abul
abel,A340L,adil,0.5,2.0,abal,
abel,A340L,agal,0.5,2.0,abal,
abel,A340L,agil,0.5,2.0,abal,
abel,A340L,agul,0.5,2.0,abal,
abel,A340L,ajal,0.5,2.0,abal,
abel,A340L,akal,0.5,2.0,abal,
abel,A340L,akil,0.5,2.0,abal,
abelih,A342H,abilah,0.667,2.0,abilah,
abelih,A342H,adalah,0.5,3.0,abilah,
abelih,A342H,adillah,0.462,4.0,abilah,
abelih,A342H,akalilah,0.571,4.0,abilah,
abelih,A342H,akliah,0.667,3.0,abilah,akliah
abell,A340L,abal,0.667,2.0,abal,
abell,A340L,abalabal,0.615,4.0,abal,
abell,A340L,abul,0.667,2.0,abal,abul
abell,A340L,adil,0.444,3.0,abal,
abell,A340L,agal,0.444,3.0,abal,
abell,A340L,agil,0.444,3.0,abal,
abell,A340L,agul,0.444,3.0,abal,
abell,A340L,ajal,0.444,3.0,abal,
abell,A340L,akal,0.444,3.0,abal,
abell,A340L,akil,0.444,3.0,abal,
abelss,A342S,adolesens,0.533,5.0,adolesens,
abequynwhbpelatihan,A321N,akhwan,0.32,15.0,akhwan,
abg,A330G,ajag,0.571,2.0,ajag,
abgbugil,A334L,abdul,0.615,4.0,abdul,
abggota,A333A,adiboga,0.571,4.0,adiboga,
abggota,A333A,adicita,0.429,4.0,adiboga,
abggota,A333A,adjektiva,0.375,6.0,adiboga,
abggota,A333A,akibatnya,0.5,6.0,adiboga,
abghot,A332T,adatistiadat,0.222,10.0,adatistiadat,
abigail,A334L,abdul,0.5,4.0,abdul,
abighya,A332A,adatistiadatnya,0.364,11.0,adiposa,
abighya,A332A,adibusana,0.375,6.0,adiposa,
abighya,A332A,adikuasa,0.4,5.0,adiposa,
abighya,A332A,adiposa,0.429,4.0,adiposa,
abiis,A320S,abas,0.667,2.0,abis,
abiis,A320S,abis,0.889,1.0,abis,
abiis,A320S,abses,0.6,2.0,abis,
abiis,A320S,absis,0.8,1.0,abis,
abiis,A320S,abus,0.667,2.0,abis,
abiis,A320S,adas,0.444,3.0,abis,
abiis,A320S,aedes,0.4,3.0,abis,
abiis,A320S,agas,0.444,3.0,abis,
abiis,A320S,agus,0.444,3.0,abis,
abiis,A320S,akas,0.444,3.0,abis,
abinegara,A353A,abangga,0.625,4.0,abangga,
abinegara,A353A,abangnya,0.588,4.0,abangga,
abinegara,A353A,agenda,0.4,6.0,abangga,
abinegara,A353A,agendanya,0.444,6.0,abangga,
abinegara,A353A,akomodasinya,0.381,9.0,abangga,
abisbiar,A326R,absorpsiometer,0.364,10.0,akhir,
abisbiar,A326R,absorsiometer,0.381,9.0,akhir,
abisbiar,A326R,akhir,0.462,5.0,akhir,
abisbiar,A326R,akhirakhir,0.444,7.0,akhir,
abiscepeet,A323T,absit,0.533,6.0,absit,
abiscepeet,A323T,advokat,0.235,8.0,absit,
abisin,A325N,absen,0.727,2.0,absen,
abisin,A325N,absonan,0.615,4.0,absen,
abisin,A325N,abuhabuhan,0.375,7.0,absen,
abisin,A325N,abuhan,0.5,3.0,absen,
abisin,A325N,acuhan,0.333,4.0,absen,
abisin,A325N,adven,0.364,4.0,absen,
abisin,A325N,agihan,0.5,3.0,absen,
abisin,A325N,ajufan,0.333,4.0,absen,
abiskan,A323N,abstain,0.571,3.0,agihkan,
abiskan,A323N,adstringen,0.353,7.0,agihkan,
abiskan,A323N,agihkan,0.714,2.0,agihkan,
abisnya,A325A,absensia,0.533,4.0,acuhnya,
abisnya,A325A,acuhnya,0.571,3.0,acuhnya,
abisnya,A325A,adventisia,0.471,7.0,acuhnya,
abisnya,A325A,akhimya,0.571,4.0,acuhnya,akhimya
abissukses,A323S,agustus,0.353,6.0,agustus,
abjar,A336R,abatoar,0.667,3.0,abtar,
abjar,A336R,abtar,0.8,1.0,abtar,
abjar,A336R,abubakar,0.615,4.0,abtar,
abjar,A336R,agitator,0.462,5.0,abtar,
abjar,A336R,akbar,0.8,2.0,abtar,akbar
abk,A330K,abuk,0.857,1.0,abuk,
abk,A330K,abukabuk,0.545,5.0,abuk,
abk,A330K,acak,0.571,2.0,abuk,
abk,A330K,acakacak,0.364,6.0,abuk,
abk,A330K,acik,0.571,2.0,abuk,
abk,A330K,adik,0.571,2.0,abuk,
abk,A330K,aduk,0.571,2.0,abuk,
abk,A330K,agak,0.571,2.0,abuk,
abk,A330K,agakagak,0.364,6.0,abuk,
abk,A330K,aguk,0.571,2.0,abuk,
abk,A330K,ajak,0.571,2.0,abuk,
abk,A330K,ajek,0.571,2.0,abuk,
abk,A330K,ajuk,0.571,2.0,abuk,
abkdiamondprincess,A333S,adaptabilitas,0.323,13.0,adiabatis,
abkdiamondprincess,A333S,adiabatis,0.444,12.0,adiabatis,
abkdiamondprincesss,A333S,adaptabilitas,0.312,14.0,adiabatis,
abkdiamondprincesss,A333S,adiabatis,0.429,13.0,adiabatis,
abn,A350N,abaian,0.667,3.0,aban,
abn,A350N,aban,0.857,1.0,aban,
abn,A350N,aben,0.857,1.0,aban,aben
abn,A350N,abon,0.857,1.0,aban,abon
abn,A350N,abuabuan,0.545,5.0,aban,
abn,A350N,abuan,0.75,2.0,aban,
abn,A350N,abun,0.857,1.0,aban,abun
abn,A350N,abunabun,0.545,5.0,aban,
abn,A350N,acan,0.571,2.0,aban,
abn,A350N,aciacian,0.364,6.0,aban,
abn,A350N,acian,0.5,3.0,aban,
abn,A350N,acoacoan,0.364,6.0,aban,
abn,A350N,acoan,0.5,3.0,aban,
abn,A350N,acuan,0.5,3.0,aban,
abn,A350N,adan,0.571,2.0,aban,
abn,A350N,adenin,0.444,4.0,aban,
abn,A350N,adnan,0.5,3.0,aban,
abn,A350N,adon,0.571,2.0,aban,
abn,A350N,adonan,0.444,4.0,aban,
abn,A350N,aduan,0.5,3.0,aban,
abn,A350N,adun,0.571,2.0,aban,
abn,A350N,adunan,0.444,4.0,aban,
abn,A350N,agan,0.571,2.0,aban,
abn,A350N,agen,0.571,2.0,aban,
abn,A350N,agon,0.571,2.0,aban,
abn,A350N,agun,0.571,2.0,aban,
abn,A350N,agunan,0.444,4.0,aban,
abn,A350N,ajuan,0.5,3.0,aban,
abn,A350N,ajun,0.571,2.0,aban,
abn,A350N,akan,0.571,2.0,aban,
abn,A350N,akanakan,0.364,6.0,aban,
abn,A350N,akanan,0.444,4.0,aban,
aboe,A300E,ade,0.571,2.0,ade,
abolish,A342H,abilah,0.615,3.0,abilah,
abolish,A342H,adalah,0.462,4.0,abilah,
abolish,A342H,adillah,0.429,4.0,abilah,
abolish,A342H,akalilah,0.533,4.0,abilah,
abolish,A342H,akliah,0.615,3.0,abilah,akliah
abor,A360R,abar,0.75,1.0,abar,
abor,A360R,abarabar,0.5,5.0,abar,
abor,A360R,abrar,0.667,2.0,abar,
abor,A360R,abur,0.75,1.0,abar,abur
abor,A360R,acar,0.5,2.0,abar,
abor,A360R,adar,0.5,2.0,abar,
abor,A360R,agar,0.5,2.0,abar,
abor,A360R,agaragar,0.333,6.0,abar,
abor,A360R,ajar,0.5,2.0,abar,
abor,A360R,ajarajar,0.333,6.0,abar,
abor,A360R,ajir,0.5,2.0,abar,
abor,A360R,ajur,0.5,2.0,abar,
abor,A360R,akar,0.5,2.0,abar,
abor,A360R,akarakar,0.333,6.0,abar,
abor,A360R,akor,0.75,1.0,abar,akor
aborrr,A360R,abar,0.6,3.0,abrar,
aborrr,A360R,abarabar,0.571,4.0,abrar,
aborrr,A360R,abrar,0.727,2.0,abrar,
aborrr,A360R,abur,0.6,3.0,abrar,
aborrr,A360R,acar,0.4,4.0,abrar,
aborrr,A360R,adar,0.4,4.0,abrar,
aborrr,A360R,agar,0.4,4.0,abrar,
aborrr,A360R,agaragar,0.429,5.0,abrar,
aborrr,A360R,ajar,0.4,4.0,abrar,
aborrr,A360R,ajarajar,0.429,5.0,abrar,
aborrr,A360R,ajir,0.4,4.0,abrar,
aborrr,A360R,ajur,0.4,4.0,abrar,
aborrr,A360R,akar,0.4,4.0,abrar,
aborrr,A360R,akarakar,0.429,5.0,abrar,
aborrr,A360R,akor,0.6,3.0,abrar,
abortion,A363N,abritabritan,0.6,7.0,akordeon,
abortion,A363N,agropolitan,0.421,7.0,akordeon,
abortion,A363N,ajarkan,0.4,5.0,akordeon,
abortion,A363N,akordeon,0.625,3.0,akordeon,
about,A330T,abet,0.667,2.0,abet,
about,A330T,acat,0.444,3.0,abet,
about,A330T,adat,0.444,3.0,abet,
about,A330T,adatadat,0.308,6.0,abet,
about,A330T,agut,0.667,2.0,abet,agut
about,A330T,agutagut,0.462,5.0,abet,
aboutcirebon,A333N,abadikan,0.4,8.0,abadikan,
aboutcirebon,A333N,akibatkan,0.381,10.0,abadikan,
abpalpvwssejumlah,A334H,abdulah,0.5,11.0,abdulah,
abpalpvwssejumlah,A334H,abdullah,0.48,11.0,abdulah,
abpalpvwssejumlah,A334H,adatlah,0.417,12.0,abdulah,
abpalpvwssejumlah,A334H,adukaduklah,0.429,12.0,abdulah,
abpalpvwssejumlah,A334H,aduklah,0.417,12.0,abdulah,
abpalpvwssejumlah,A334H,ajaklah,0.417,12.0,abdulah,
abraar,A360R,abar,0.8,2.0,abrar,
abraar,A360R,abarabar,0.857,2.0,abrar,
abraar,A360R,abrar,0.909,1.0,abrar,
abraar,A360R,abur,0.6,3.0,abrar,
abraar,A360R,acar,0.6,3.0,abrar,
abraar,A360R,adar,0.6,3.0,abrar,
abraar,A360R,agar,0.6,3.0,abrar,
abraar,A360R,agaragar,0.714,3.0,abrar,
abraar,A360R,ajar,0.6,3.0,abrar,
abraar,A360R,ajarajar,0.714,3.0,abrar,
abraar,A360R,ajir,0.4,4.0,abrar,
abraar,A360R,ajur,0.4,4.0,abrar,
abraar,A360R,akar,0.6,3.0,abrar,
abraar,A360R,akarakar,0.714,3.0,abrar,
abraar,A360R,akor,0.4,4.0,abrar,
abrutwmr,A363R,agrikultur,0.556,6.0,agrikultur,
abrutwmrtidak,A363K,abrak,0.556,8.0,abrak,
abrutwmrtidak,A363K,abrek,0.444,9.0,abrak,
abrutwmrtidak,A363K,abrik,0.556,8.0,abrak,abrik
abrutwmrtidak,A363K,akrobatik,0.455,8.0,abrak,
abs,A320S,abas,0.857,1.0,abas,
abs,A320S,abis,0.857,1.0,abas,abis
abs,A320S,abses,0.75,2.0,abas,
abs,A320S,absis,0.75,2.0,abas,
abs,A320S,abus,0.857,1.0,abas,abus
abs,A320S,adas,0.571,2.0,abas,
abs,A320S,aedes,0.5,3.0,abas,
abs,A320S,agas,0.571,2.0,abas,
abs,A320S,agus,0.571,2.0,abas,
abs,A320S,akas,0.571,2.0,abas,
absennya,A325A,absensia,0.75,2.0,absensia,
absennya,A325A,acuhnya,0.533,4.0,absensia,
absennya,A325A,adventisia,0.444,6.0,absensia,
absennya,A325A,akhimya,0.4,5.0,absensia,
abshor,A322R,abiosfer,0.571,4.0,abiosfer,
absinthe,A325E,absente,0.8,2.0,absente,
absinthe,A325E,absenteisme,0.632,5.0,absente,
abud,A330D,abad,0.75,1.0,abad,
abud,A330D,abid,0.75,1.0,abad,abid
abud,A330D,akad,0.5,2.0,abad,
abud,A330D,akaid,0.444,3.0,abad,
abudabi,A330I,abadi,0.667,3.0,abdi,
abudabi,A330I,abdi,0.727,3.0,abdi,
abudabi,A330I,adaibadai,0.625,5.0,abdi,
abudabi,A330I,adati,0.667,3.0,abdi,
abuker,A336R,abatoar,0.462,4.0,abubakar,
abuker,A336R,abtar,0.545,3.0,abubakar,
abuker,A336R,abubakar,0.714,3.0,abubakar,
abuker,A336R,agitator,0.286,6.0,abubakar,
abuker,A336R,akbar,0.545,4.0,abubakar,
abuna,A350A,adenda,0.545,3.0,aduna,
abuna,A350A,adenia,0.545,3.0,aduna,
abuna,A350A,adenina,0.5,4.0,aduna,
abuna,A350A,adina,0.6,2.0,aduna,
abuna,A350A,adinda,0.545,3.0,aduna,
abuna,A350A,aduna,0.8,1.0,aduna,
abuna,A350A,agama,0.4,3.0,aduna,
abuna,A350A,agonia,0.545,3.0,aduna,
aburizal,A362L,agrestal,0.5,5.0,agrestal,
abusers,A326S,absorbsivitas,0.5,9.0,absorptans,
abusers,A326S,absorptans,0.588,6.0,absorptans,
abusers,A326S,absortivitas,0.526,8.0,absorptans,
abusers,A326S,absurditas,0.471,6.0,absorptans,
abuti,A330I,abadi,0.6,2.0,abdi,
abuti,A330I,abdi,0.667,2.0,abdi,
abuti,A330I,adaibadai,0.429,6.0,abdi,
abuti,A330I,adati,0.6,2.0,abdi,
aca,A300A,aba,0.667,1.0,aba,
aca,A300A,abaaba,0.444,4.0,aba,
aca,A300A,ada,0.667,1.0,aba,ada
aca,A300A,aja,0.667,1.0,aba,aja
acabou,A330U,abdu,0.6,3.0,abdu,
acabou,A330U,adikku,0.333,4.0,abdu,
acabou,A330U,aibku,0.545,3.0,abdu,
acad,A330D,abad,0.75,1.0,abad,
acad,A330D,abid,0.5,2.0,abad,
acad,A330D,akad,0.75,1.0,abad,akad
acad,A330D,akaid,0.667,2.0,abad,
academybinar,A335R,adipenghantar,0.48,8.0,adipenghantar,
acajzdmepliss,A332S,abakus,0.316,10.0,abdas,
acajzdmepliss,A332S,abdas,0.333,10.0,abdas,
acajzdmepliss,A332S,adaks,0.333,10.0,abdas,adaks
acajzdmepliss,A332S,adipositas,0.261,10.0,abdas,
acaraki,A363I,abreaksi,0.667,4.0,abreaksi,
acaraki,A363I,abrupsi,0.429,5.0,abreaksi,
acaraki,A363I,agradasi,0.533,4.0,abreaksi,
acaraki,A363I,agrioekologi,0.421,9.0,abreaksi,
acaraki,A363I,agroekonomi,0.444,8.0,abreaksi,
acaraki,A363I,agroklimatologi,0.273,12.0,abreaksi,
acaraki,A363I,akreditasi,0.353,7.0,abreaksi,
acaraki,A363I,akreditisasi,0.316,9.0,abreaksi,
acarakijamu,A363U,acaraku,0.778,4.0,acaraku,
acarakotabatu,A363U,acaraku,0.7,6.0,acaraku,
acaramusikbatal,A365L,adrenal,0.364,11.0,adrenal,
acbaidowi,A333I,abdikasi,0.471,5.0,abdikasi,
acbaidowi,A333I,abduksi,0.375,6.0,abdikasi,
acbaidowi,A333I,acapkali,0.471,5.0,abdikasi,acapkali
acbaidowi,A333I,adaptasi,0.353,6.0,abdikasi,
acbaidowi,A333I,adipati,0.375,6.0,abdikasi,
acc,A300C,ac,0.8,1.0,ac,
access,A320S,abas,0.4,4.0,abses,
access,A320S,abis,0.4,4.0,abses,
access,A320S,abses,0.545,3.0,abses,
access,A320S,absis,0.545,4.0,abses,absis
access,A320S,abus,0.4,4.0,abses,
access,A320S,adas,0.4,4.0,abses,
access,A320S,aedes,0.545,3.0,abses,aedes
access,A320S,agas,0.4,4.0,abses,
access,A320S,agus,0.4,4.0,abses,
access,A320S,akas,0.4,4.0,abses,
accessible,A323E,abstraksionisme,0.4,11.0,abstraksionisme,
accident,A335T,adibangkit,0.444,7.0,adibangkit,
accidental,A335L,abdominal,0.526,6.0,abdominal,
accidents,A335S,abiogenesis,0.5,7.0,abiogenesis,
accidents,A335S,akademikus,0.421,7.0,abiogenesis,
accidents,A335S,akademis,0.471,5.0,abiogenesis,
accor,A360R,abar,0.444,3.0,acar,
accor,A360R,abarabar,0.308,6.0,acar,
accor,A360R,abrar,0.4,3.0,acar,
accor,A360R,abur,0.444,3.0,acar,
accor,A360R,acar,0.667,2.0,acar,
accor,A360R,adar,0.444,3.0,acar,
accor,A360R,agar,0.444,3.0,acar,
accor,A360R,agaragar,0.308,6.0,acar,
accor,A360R,ajar,0.444,3.0,acar,
accor,A360R,ajarajar,0.308,6.0,acar,
accor,A360R,ajir,0.444,3.0,acar,
accor,A360R,ajur,0.444,3.0,acar,
accor,A360R,akar,0.444,3.0,acar,
accor,A360R,akarakar,0.308,6.0,acar,
accor,A360R,akor,0.667,2.0,acar,akor
account,A353T,agamet,0.308,5.0,akinet,
account,A353T,akinet,0.462,5.0,akinet,
accounting,A353G,abang,0.4,7.0,acung,
accounting,A353G,abing,0.533,6.0,acung,
accounting,A353G,abong,0.533,6.0,acung,
accounting,A353G,abongabong,0.4,7.0,acung,
accounting,A353G,acang,0.533,6.0,acung,
accounting,A353G,acangacang,0.4,6.0,acung,
accounting,A353G,acung,0.667,5.0,acung,
accounting,A353G,adang,0.4,7.0,acung,
accounting,A353G,adangadang,0.3,7.0,acung,
accounting,A353G,ading,0.533,6.0,acung,
accounting,A353G,ajang,0.4,7.0,acung,
accounting,A353G,ajeng,0.4,7.0,acung,
accounting,A353G,ajojing,0.588,5.0,acung,
accounting,A353G,ajung,0.533,6.0,acung,
accounting,A353G,akang,0.4,7.0,acung,
accounting,A353G,aking,0.533,6.0,acung,
accounts,A353S,admitans,0.375,6.0,akantus,
accounts,A353S,akantus,0.533,5.0,akantus,
accusations,A323S,agustus,0.556,6.0,agustus,
accuser,A326R,absorpsiometer,0.381,10.0,absorsiometer,
accuser,A326R,absorsiometer,0.4,9.0,absorsiometer,
accuser,A326R,akhir,0.333,5.0,absorsiometer,
accuser,A326R,akhirakhir,0.235,8.0,absorsiometer,
aceatrmsminta,A336A,adikara,0.4,10.0,adikara,
aceatrmsminta,A336A,adikarya,0.381,10.0,adikara,
aceatrmsminta,A336A,adipura,0.2,10.0,adikara,
acehhebat,A323T,absit,0.429,7.0,absit,
acehhebat,A323T,advokat,0.375,6.0,absit,
ach,A320H,abah,0.571,2.0,acah,
ach,A320H,abahabah,0.364,6.0,acah,
ach,A320H,abuh,0.571,2.0,acah,
ach,A320H,acah,0.857,1.0,acah,
ach,A320H,aceh,0.857,1.0,acah,aceh
ach,A320H,acuh,0.857,1.0,acah,acuh
ach,A320H,adahah,0.444,4.0,acah,
ach,A320H,adeh,0.571,2.0,acah,
ach,A320H,aduh,0.571,2.0,acah,
ach,A320H,agah,0.571,2.0,acah,
