kata alay,kode,kata kamus,sequence matcher,minimum edit distance,perbaikan kata,perbaikan kata 2
ach,A320H,agih,0.571,2.0,acah,
ach,A320H,agihagih,0.364,6.0,acah,
ach,A320H,ajeh,0.571,2.0,acah,
ach,A320H,ajujah,0.444,4.0,acah,
ach,A320H,akikah,0.444,4.0,acah,
achirnya,A326A,adverbia,0.375,5.0,akhirnya,
achirnya,A326A,akhirakhirnya,0.667,6.0,akhirnya,
achirnya,A326A,akhirnya,0.875,1.0,akhirnya,
achirnya,A326A,akhirya,0.8,2.0,akhirnya,
achm,A325M,adiasam,0.364,5.0,adiasam,
achmadfauzi,A325I,absensi,0.222,9.0,absensi,
achmadfauzipeduli,A325I,absensi,0.167,14.0,absensi,
achmadyuriantomakin,A325N,absen,0.167,17.0,abuhabuhan,
achmadyuriantomakin,A325N,absonan,0.231,15.0,abuhabuhan,
achmadyuriantomakin,A325N,abuhabuhan,0.414,14.0,abuhabuhan,
achmadyuriantomakin,A325N,abuhan,0.32,15.0,abuhabuhan,
achmadyuriantomakin,A325N,acuhan,0.4,14.0,abuhabuhan,
achmadyuriantomakin,A325N,adven,0.25,16.0,abuhabuhan,
achmadyuriantomakin,A325N,agihan,0.32,15.0,abuhabuhan,
achmadyuriantomakin,A325N,ajufan,0.32,15.0,abuhabuhan,
achmadyuriantopasien,A325N,absen,0.32,16.0,abuhabuhan,
achmadyuriantopasien,A325N,absonan,0.222,16.0,abuhabuhan,
achmadyuriantopasien,A325N,abuhabuhan,0.4,15.0,abuhabuhan,
achmadyuriantopasien,A325N,abuhan,0.308,16.0,abuhabuhan,
achmadyuriantopasien,A325N,acuhan,0.385,15.0,abuhabuhan,
achmadyuriantopasien,A325N,adven,0.32,16.0,abuhabuhan,
achmadyuriantopasien,A325N,agihan,0.308,16.0,abuhabuhan,
achmadyuriantopasien,A325N,ajufan,0.308,16.0,abuhabuhan,
achor,A326R,absorpsiometer,0.316,11.0,akhir,
achor,A326R,absorsiometer,0.333,10.0,akhir,
achor,A326R,akhir,0.6,2.0,akhir,
achor,A326R,akhirakhir,0.4,7.0,akhir,
acid,A330D,abad,0.5,2.0,abid,
acid,A330D,abid,0.75,1.0,abid,
acid,A330D,akad,0.5,2.0,abid,
acid,A330D,akaid,0.667,2.0,abid,
acmrpsndata,A356A,adimarga,0.421,9.0,adimarga,
acmrpsndata,A356A,adinandra,0.4,7.0,adimarga,
acnftbccuk,A352K,agnostik,0.444,7.0,agnostik,
acnftbccuk,A352K,agonistik,0.421,8.0,agnostik,
acpcemvgubernur,A335R,adipenghantar,0.357,11.0,adipenghantar,
acqlweyk,A324K,akhlak,0.429,5.0,akhlak,
acquired,A326D,absurd,0.571,4.0,absurd,
acrivites,A362S,abras,0.429,6.0,agresivitas,
acrivites,A362S,abrus,0.429,6.0,agresivitas,
acrivites,A362S,adres,0.571,5.0,agresivitas,
acrivites,A362S,agraris,0.5,5.0,agresivitas,
acrivites,A362S,agresivitas,0.7,4.0,agresivitas,
across,A362S,abras,0.545,3.0,abras,
across,A362S,abrus,0.545,3.0,abras,abrus
across,A362S,adres,0.545,3.0,abras,adres
across,A362S,agraris,0.462,4.0,abras,
across,A362S,agresivitas,0.471,7.0,abras,
acrtrnqada,A363A,abortiva,0.444,7.0,abrakadabra,
acrtrnqada,A363A,abrakadabra,0.476,7.0,abrakadabra,
acrtrnqada,A363A,adiraja,0.353,6.0,abrakadabra,
acrtrnqada,A363A,adiratna,0.333,7.0,abrakadabra,
acrtrnqada,A363A,agripnia,0.444,6.0,abrakadabra,
acrtrnqada,A363A,agrokimia,0.316,7.0,abrakadabra,
acrtrnqada,A363A,ajarkannya,0.4,7.0,abrakadabra,
acrtrnqada,A363A,akrabnya,0.444,6.0,abrakadabra,
act,A330T,abet,0.571,2.0,acat,
act,A330T,acat,0.857,1.0,acat,
act,A330T,adat,0.571,2.0,acat,
act,A330T,adatadat,0.364,6.0,acat,
act,A330T,agut,0.571,2.0,acat,
act,A330T,agutagut,0.364,6.0,acat,
actbali,A333I,abdikasi,0.533,5.0,acapkali,
actbali,A333I,abduksi,0.429,5.0,acapkali,
actbali,A333I,acapkali,0.667,3.0,acapkali,
actbali,A333I,adaptasi,0.533,5.0,acapkali,
actbali,A333I,adipati,0.429,4.0,acapkali,
acting,A335G,adibintang,0.5,6.0,adigang,
acting,A335G,adigang,0.615,4.0,adigang,
acting,A335G,adigung,0.615,4.0,adigang,adigung
acting,A335G,adikong,0.615,4.0,adigang,adikong
acting,A335G,ajigineng,0.533,5.0,adigang,
action,A335N,abaikan,0.462,4.0,acatan,
action,A335N,abdomen,0.462,5.0,acatan,
action,A335N,abidin,0.5,4.0,acatan,
action,A335N,acakacakan,0.375,7.0,acatan,
action,A335N,acakan,0.5,3.0,acatan,
action,A335N,acatan,0.667,3.0,acatan,
action,A335N,acikan,0.667,3.0,acatan,acikan
action,A335N,acukan,0.5,3.0,acatan,
action,A335N,adakan,0.333,4.0,acatan,
action,A335N,adapadapan,0.25,8.0,acatan,
action,A335N,adapan,0.333,4.0,acatan,
action,A335N,adapun,0.333,4.0,acatan,
action,A335N,adegan,0.333,4.0,acatan,
action,A335N,adukadukan,0.25,8.0,acatan,
action,A335N,adukan,0.333,4.0,acatan,
action,A335N,adukkan,0.308,5.0,acatan,
action,A335N,agakan,0.333,4.0,acatan,
action,A335N,ajaiban,0.462,4.0,acatan,
action,A335N,ajakan,0.333,4.0,acatan,
action,A335N,ajudan,0.333,4.0,acatan,
action,A335N,ajukan,0.333,4.0,acatan,
actionnya,A335A,abdinya,0.625,4.0,abdomennya,
actionnya,A335A,abdomennya,0.632,5.0,abdomennya,
actionnya,A335A,adatnya,0.625,5.0,abdomennya,
actionnya,A335A,adegannya,0.556,4.0,abdomennya,
actionnya,A335A,adiguna,0.5,5.0,abdomennya,
actionnya,A335A,adikadiknya,0.5,7.0,abdomennya,
actionnya,A335A,adikadiknya,0.5,7.0,abdomennya,
actionnya,A335A,adiknya,0.625,4.0,abdomennya,
actionnya,A335A,aditama,0.375,6.0,abdomennya,
actionnya,A335A,agaknya,0.5,5.0,abdomennya,
actionnya,A335A,ajaibnya,0.588,4.0,abdomennya,
actionnya,A335A,ajakannya,0.556,4.0,abdomennya,
actionnya,A335A,ajudannya,0.556,4.0,abdomennya,
actionnya,A335A,ajukannya,0.556,4.0,abdomennya,
actionnya,A335A,akademika,0.333,7.0,abdomennya,
actionnya,A335A,akademiknya,0.5,7.0,abdomennya,
actionnya,A335A,akademisnya,0.5,7.0,abdomennya,
actions,A335S,abiogenesis,0.556,7.0,abiogenesis,
actions,A335S,akademikus,0.353,7.0,abiogenesis,
actions,A335S,akademis,0.4,6.0,abiogenesis,
activations,A332S,abakus,0.353,8.0,adipositas,
activations,A332S,abdas,0.375,8.0,adipositas,
activations,A332S,adaks,0.375,8.0,adipositas,
activations,A332S,adipositas,0.381,7.0,adipositas,
activist,A332T,adatistiadat,0.5,7.0,adatistiadat,
activites,A332S,abakus,0.267,7.0,adipositas,
activites,A332S,abdas,0.286,7.0,adipositas,
activites,A332S,adaks,0.286,7.0,adipositas,
activites,A332S,adipositas,0.526,6.0,adipositas,
activities,A332S,abakus,0.25,8.0,adipositas,
activities,A332S,abdas,0.267,8.0,adipositas,
activities,A332S,adaks,0.267,8.0,adipositas,
activities,A332S,adipositas,0.5,7.0,adipositas,
activiyes,A332S,abakus,0.267,7.0,adipositas,
activiyes,A332S,abdas,0.286,7.0,adipositas,
activiyes,A332S,adaks,0.286,7.0,adipositas,
activiyes,A332S,adipositas,0.316,7.0,adipositas,
actor,A336R,abatoar,0.667,3.0,abatoar,
actor,A336R,abtar,0.6,2.0,abatoar,
actor,A336R,abubakar,0.308,6.0,abatoar,
actor,A336R,agitator,0.615,4.0,abatoar,
actor,A336R,akbar,0.4,3.0,abatoar,
actout,A330T,abet,0.4,4.0,acat,
actout,A330T,acat,0.6,3.0,acat,
actout,A330T,adat,0.4,4.0,acat,
actout,A330T,adatadat,0.429,5.0,acat,
actout,A330T,agut,0.6,3.0,acat,agut
actout,A330T,agutagut,0.429,4.0,acat,
acts,A332S,abakus,0.4,4.0,abdas,
acts,A332S,abdas,0.444,3.0,abdas,
acts,A332S,adaks,0.444,3.0,abdas,adaks
acts,A332S,adipositas,0.429,7.0,abdas,
acuhkan,A323N,abstain,0.429,5.0,agihkan,
acuhkan,A323N,adstringen,0.235,8.0,agihkan,
acuhkan,A323N,agihkan,0.714,2.0,agihkan,
acunt,A353T,agamet,0.364,4.0,akinet,
acunt,A353T,akinet,0.545,3.0,akinet,
acusa,A320A,adha,0.444,3.0,akasia,
acusa,A320A,akasia,0.545,3.0,akasia,
acute,A330E,abate,0.6,2.0,abate,
acute,A330E,abece,0.6,3.0,abate,abece
acute,A330E,agape,0.4,3.0,abate,
acuu,A300U,abau,0.5,2.0,acu,
acuu,A300U,abu,0.571,2.0,acu,
acuu,A300U,abuabu,0.6,3.0,acu,
acuu,A300U,acau,0.75,1.0,acu,
acuu,A300U,acu,0.857,1.0,acu,
acuu,A300U,adu,0.571,2.0,acu,
acuu,A300U,aiku,0.5,2.0,acu,
acuu,A300U,aju,0.571,2.0,acu,
ad,A300D,adad,0.667,2.0,adad,
adaa,A300A,aba,0.571,2.0,ada,
adaa,A300A,abaaba,0.6,3.0,ada,
adaa,A300A,ada,0.857,1.0,ada,
adaa,A300A,aja,0.571,2.0,ada,
adaaa,A300A,aba,0.5,3.0,ada,
adaaa,A300A,abaaba,0.727,2.0,ada,
adaaa,A300A,ada,0.75,2.0,ada,
adaaa,A300A,aja,0.5,3.0,ada,
adaaaa,A300A,aba,0.444,4.0,abaaba,
adaaaa,A300A,abaaba,0.667,2.0,abaaba,
adaaaa,A300A,ada,0.667,3.0,abaaba,ada
adaaaa,A300A,aja,0.444,4.0,abaaba,
adaadaaja,A330A,abaka,0.429,6.0,abaka,
adaadaaja,A330A,adika,0.429,6.0,abaka,adika
adachi,A332I,abatisasi,0.4,6.0,adikasi,
adachi,A332I,adikasi,0.615,4.0,adikasi,
adachi,A332I,adiksi,0.5,3.0,adikasi,
adachi,A332I,adopsi,0.5,3.0,adikasi,
adachi,A332I,aduksi,0.5,3.0,adikasi,
adachi,A332I,agitasi,0.462,5.0,adikasi,
adain,A350N,abaian,0.727,2.0,adan,
adain,A350N,aban,0.667,2.0,adan,
adain,A350N,aben,0.444,3.0,adan,
adain,A350N,abon,0.444,3.0,adan,
adain,A350N,abuabuan,0.462,5.0,adan,
adain,A350N,abuan,0.6,3.0,adan,
adain,A350N,abun,0.444,3.0,adan,
adain,A350N,abunabun,0.462,5.0,adan,
adain,A350N,acan,0.667,2.0,adan,
adain,A350N,aciacian,0.615,4.0,adan,
adain,A350N,acian,0.6,3.0,adan,
adain,A350N,acoacoan,0.462,5.0,adan,
adain,A350N,acoan,0.6,3.0,adan,
adain,A350N,acuan,0.6,3.0,adan,
adain,A350N,adan,0.889,1.0,adan,
adain,A350N,adenin,0.727,2.0,adan,
adain,A350N,adnan,0.8,2.0,adan,
adain,A350N,adon,0.667,2.0,adan,
adain,A350N,adonan,0.727,3.0,adan,
adain,A350N,aduan,0.8,2.0,adan,
adain,A350N,adun,0.667,2.0,adan,
adain,A350N,adunan,0.727,3.0,adan,
adain,A350N,agan,0.667,2.0,adan,
adain,A350N,agen,0.444,3.0,adan,
adain,A350N,agon,0.444,3.0,adan,
adain,A350N,agun,0.444,3.0,adan,
adain,A350N,agunan,0.545,4.0,adan,
adain,A350N,ajuan,0.6,3.0,adan,
adain,A350N,ajun,0.444,3.0,adan,
adain,A350N,akan,0.667,2.0,adan,
adain,A350N,akanakan,0.462,5.0,adan,
adain,A350N,akanan,0.545,3.0,adan,
adajgn,A333N,abadikan,0.571,5.0,abadikan,
adajgn,A333N,akibatkan,0.4,6.0,abadikan,
adakami,A335I,akademi,0.714,3.0,akademi,
adakami,A335I,akademisi,0.625,5.0,akademi,
adala,A340A,abulia,0.364,3.0,acala,
adala,A340A,acala,0.8,1.0,acala,
adala,A340A,aglaia,0.545,3.0,acala,
adalahmudah,A342H,abilah,0.471,7.0,adalah,
adalahmudah,A342H,adalah,0.706,5.0,adalah,
adalahmudah,A342H,adillah,0.556,6.0,adalah,
adalahmudah,A342H,akalilah,0.526,6.0,adalah,
adalahmudah,A342H,akliah,0.471,7.0,adalah,
adalapenanggalan,A343N,aglikon,0.261,13.0,aglutinin,
adalapenanggalan,A343N,aglutinin,0.32,12.0,aglutinin,
adalapenanggalan,A343N,aglutinogen,0.296,11.0,aglutinin,
adamas,A352S,abnus,0.364,4.0,adimas,
adamas,A352S,adenosis,0.429,5.0,adimas,
adamas,A352S,adimas,0.833,1.0,adimas,
adamas,A352S,agamais,0.769,2.0,adimas,
adamas,A352S,agens,0.364,4.0,adimas,
adamas,A352S,agonis,0.333,4.0,adimas,
adamas,A352S,ajnas,0.545,3.0,adimas,
adams,A352S,abnus,0.4,3.0,adimas,
adams,A352S,adenosis,0.462,5.0,adimas,
adams,A352S,adimas,0.727,2.0,adimas,
adams,A352S,agamais,0.667,3.0,adimas,
adams,A352S,agens,0.4,3.0,adimas,
adams,A352S,agonis,0.364,4.0,adimas,
adams,A352S,ajnas,0.6,3.0,adimas,
adane,A350E,akene,0.6,2.0,akene,
adaorang,A365G,acerang,0.667,3.0,acerang,
adapositif,A332F,aditif,0.75,4.0,aditif,
adapositif,A332F,agitatif,0.556,6.0,aditif,
adaptations,A333S,adaptabilitas,0.667,5.0,adiabatis,
adaptations,A333S,adiabatis,0.7,5.0,adiabatis,
adapula,A334A,adakala,0.714,2.0,adakala,
adapula,A334A,adakalanya,0.588,5.0,adakala,
adapula,A334A,akapela,0.714,2.0,adakala,akapela
adapula,A334A,akatalepsia,0.444,7.0,adakala,
adararik,A363K,abrak,0.615,4.0,abrak,
adararik,A363K,abrek,0.462,5.0,abrak,
adararik,A363K,abrik,0.615,4.0,abrak,abrik
adararik,A363K,akrobatik,0.471,5.0,abrak,
adarkhqyylebih,A363H,ajarkanlah,0.417,8.0,ajarkanlah,
adayauda,A310A,abuya,0.462,5.0,adidaya,
adayauda,A310A,adidaya,0.667,4.0,adidaya,
adayauda,A310A,adiwidia,0.375,5.0,adidaya,
adb,A330B,adab,0.857,1.0,adab,
adb,A330B,adib,0.857,1.0,adab,adib
adb,A330B,ajab,0.571,2.0,adab,
adb,A330B,ajaib,0.5,3.0,adab,
add,A300D,adad,0.857,1.0,adad,
added,A300D,adad,0.667,2.0,adad,
addict,A333T,adekuat,0.462,4.0,adiabat,
addict,A333T,adiabat,0.615,4.0,adiabat,
addict,A333T,adibibit,0.571,4.0,adiabat,
addict,A333T,adpokat,0.462,4.0,adiabat,
addict,A333T,akibat,0.5,4.0,adiabat,
addiinmedia,A355A,abaimana,0.421,7.0,adinamia,
addiinmedia,A355A,adenoma,0.556,7.0,adinamia,
addiinmedia,A355A,adinamia,0.737,5.0,adinamia,
addiinmedia,A355A,administrasinya,0.462,9.0,adinamia,
addiinmedia,A355A,agamanya,0.316,8.0,adinamia,
additional,A335L,abdominal,0.632,4.0,abdominal,
addo,A300O,aco,0.571,2.0,aco,
addo,A300O,agio,0.5,2.0,aco,
addo,A300O,agogo,0.444,3.0,aco,
addo,A300O,akeo,0.5,2.0,aco,
addon,A350N,abaian,0.364,4.0,adon,
addon,A350N,aban,0.444,3.0,adon,
addon,A350N,aben,0.444,3.0,adon,
addon,A350N,abon,0.667,2.0,adon,
addon,A350N,abuabuan,0.308,6.0,adon,
addon,A350N,abuan,0.4,3.0,adon,
addon,A350N,abun,0.444,3.0,adon,
addon,A350N,abunabun,0.308,6.0,adon,
addon,A350N,acan,0.444,3.0,adon,
addon,A350N,aciacian,0.308,6.0,adon,
addon,A350N,acian,0.4,3.0,adon,
addon,A350N,acoacoan,0.462,5.0,adon,
addon,A350N,acoan,0.6,3.0,adon,
addon,A350N,acuan,0.4,3.0,adon,
addon,A350N,adan,0.667,2.0,adon,
addon,A350N,adenin,0.545,3.0,adon,
addon,A350N,adnan,0.6,2.0,adon,
addon,A350N,adon,0.889,1.0,adon,
addon,A350N,adonan,0.727,3.0,adon,
addon,A350N,aduan,0.6,2.0,adon,
addon,A350N,adun,0.667,2.0,adon,
addon,A350N,adunan,0.545,3.0,adon,
addon,A350N,agan,0.444,3.0,adon,
addon,A350N,agen,0.444,3.0,adon,
addon,A350N,agon,0.667,2.0,adon,
addon,A350N,agun,0.444,3.0,adon,
addon,A350N,agunan,0.364,4.0,adon,
addon,A350N,ajuan,0.4,3.0,adon,
addon,A350N,ajun,0.444,3.0,adon,
addon,A350N,akan,0.444,3.0,adon,
addon,A350N,akanakan,0.308,6.0,adon,
addon,A350N,akanan,0.364,4.0,adon,
address,A362S,abras,0.5,4.0,adres,
address,A362S,abrus,0.5,4.0,adres,
address,A362S,adres,0.833,2.0,adres,
address,A362S,agraris,0.429,5.0,adres,
address,A362S,agresivitas,0.556,7.0,adres,
adek,A330K,abuk,0.5,2.0,adik,
adek,A330K,abukabuk,0.333,6.0,adik,
adek,A330K,acak,0.5,2.0,adik,
adek,A330K,acakacak,0.333,6.0,adik,
adek,A330K,acik,0.5,2.0,adik,
adek,A330K,adik,0.75,1.0,adik,
adek,A330K,aduk,0.75,1.0,adik,aduk
adek,A330K,agak,0.5,2.0,adik,
adek,A330K,agakagak,0.333,6.0,adik,
adek,A330K,aguk,0.5,2.0,adik,
adek,A330K,ajak,0.5,2.0,adik,
adek,A330K,ajek,0.75,1.0,adik,ajek
adek,A330K,ajuk,0.5,2.0,adik,
adekku,A330U,abdu,0.6,4.0,adikku,
adekku,A330U,adikku,0.833,1.0,adikku,
adekku,A330U,aibku,0.545,3.0,adikku,
adekmu,A335U,adikmu,0.833,1.0,adikmu,
adekmu,A335U,ajakanmu,0.571,4.0,adikmu,
adeknya,A335A,abdinya,0.714,3.0,adiknya,
adeknya,A335A,abdomennya,0.706,4.0,adiknya,
adeknya,A335A,adatnya,0.714,2.0,adiknya,
adeknya,A335A,adegannya,0.75,3.0,adiknya,
adeknya,A335A,adiguna,0.571,4.0,adiknya,
adeknya,A335A,adikadiknya,0.667,5.0,adiknya,
adeknya,A335A,adikadiknya,0.667,5.0,adiknya,
adeknya,A335A,adiknya,0.857,1.0,adiknya,
adeknya,A335A,aditama,0.429,4.0,adiknya,
adeknya,A335A,agaknya,0.714,2.0,adiknya,
adeknya,A335A,ajaibnya,0.533,4.0,adiknya,
adeknya,A335A,ajakannya,0.625,4.0,adiknya,
adeknya,A335A,ajudannya,0.625,4.0,adiknya,
adeknya,A335A,ajukannya,0.625,4.0,adiknya,
adeknya,A335A,akademika,0.625,5.0,adiknya,
adeknya,A335A,akademiknya,0.778,4.0,adiknya,
adeknya,A335A,akademisnya,0.667,5.0,adiknya,
adeknyabekyun,A335N,abaikan,0.4,9.0,adapun,
adeknyabekyun,A335N,abdomen,0.4,10.0,adapun,
adeknyabekyun,A335N,abidin,0.316,10.0,adapun,
adeknyabekyun,A335N,acakacakan,0.261,8.0,adapun,
adeknyabekyun,A335N,acakan,0.316,9.0,adapun,
adeknyabekyun,A335N,acatan,0.211,10.0,adapun,
adeknyabekyun,A335N,acikan,0.316,9.0,adapun,
adeknyabekyun,A335N,acukan,0.316,9.0,adapun,
adeknyabekyun,A335N,adakan,0.421,8.0,adapun,
adeknyabekyun,A335N,adapadapan,0.261,9.0,adapun,
adeknyabekyun,A335N,adapan,0.316,9.0,adapun,
adeknyabekyun,A335N,adapun,0.526,8.0,adapun,
adeknyabekyun,A335N,adegan,0.421,8.0,adapun,
adeknyabekyun,A335N,adukadukan,0.348,7.0,adapun,
adeknyabekyun,A335N,adukan,0.421,8.0,adapun,
adeknyabekyun,A335N,adukkan,0.4,8.0,adapun,
adeknyabekyun,A335N,agakan,0.316,9.0,adapun,
adeknyabekyun,A335N,ajaiban,0.2,10.0,adapun,
adeknyabekyun,A335N,ajakan,0.316,9.0,adapun,
adeknyabekyun,A335N,ajudan,0.316,10.0,adapun,
adeknyabekyun,A335N,ajukan,0.316,9.0,adapun,
adeku,A330U,abdu,0.667,3.0,adikku,
adeku,A330U,adikku,0.727,2.0,adikku,
adeku,A330U,aibku,0.6,2.0,adikku,
adel,A340L,abal,0.5,2.0,adil,
adel,A340L,abalabal,0.333,6.0,adil,
adel,A340L,abul,0.5,2.0,adil,
adel,A340L,adil,0.75,1.0,adil,
adel,A340L,agal,0.5,2.0,adil,
adel,A340L,agil,0.5,2.0,adil,
adel,A340L,agul,0.5,2.0,adil,
adel,A340L,ajal,0.5,2.0,adil,
adel,A340L,akal,0.5,2.0,adil,
adel,A340L,akil,0.5,2.0,adil,
adell,A340L,abal,0.444,3.0,adil,
adell,A340L,abalabal,0.462,5.0,adil,
adell,A340L,abul,0.444,3.0,adil,
adell,A340L,adil,0.667,2.0,adil,
adell,A340L,agal,0.444,3.0,adil,
adell,A340L,agil,0.444,3.0,adil,
adell,A340L,agul,0.444,3.0,adil,
adell,A340L,ajal,0.444,3.0,adil,
adell,A340L,akal,0.444,3.0,adil,
adell,A340L,akil,0.444,3.0,adil,
ademsari,A352I,admisi,0.714,4.0,admisi,
ademsebenarnya,A352A,adenostemma,0.4,9.0,adenostemma,
ademsebenarnya,A352A,agnosia,0.286,11.0,adenostemma,
adenya,A351A,abunya,0.667,2.0,adanya,
adenya,A351A,acinya,0.667,2.0,adanya,
adenya,A351A,acuannya,0.571,4.0,adanya,
adenya,A351A,adaadanya,0.667,4.0,adanya,
adenya,A351A,adanya,0.833,1.0,adanya,
adenya,A351A,adonannya,0.667,4.0,adanya,
adenya,A351A,agenagennya,0.588,6.0,adanya,
adenya,A351A,agunannya,0.533,5.0,adanya,
adenya,A351A,agungnya,0.571,4.0,adanya,
adenya,A351A,aibnya,0.667,2.0,adanya,
adequate,A323E,abstraksionisme,0.174,12.0,abstraksionisme,
adesanya,A325A,absensia,0.5,5.0,adventisia,
adesanya,A325A,acuhnya,0.533,4.0,adventisia,
adesanya,A325A,adventisia,0.556,6.0,adventisia,
adesanya,A325A,akhimya,0.4,5.0,adventisia,
adetailnya,A334A,adakala,0.588,5.0,adakalanya,
adetailnya,A334A,adakalanya,0.7,4.0,adakalanya,
adetailnya,A334A,akapela,0.353,7.0,adakalanya,
adetailnya,A334A,akatalepsia,0.476,7.0,adakalanya,
adeuh,A320H,abah,0.444,3.0,adeh,
adeuh,A320H,abahabah,0.308,6.0,adeh,
adeuh,A320H,abuh,0.667,2.0,adeh,
adeuh,A320H,acah,0.444,3.0,adeh,
adeuh,A320H,aceh,0.667,2.0,adeh,
adeuh,A320H,acuh,0.667,2.0,adeh,
adeuh,A320H,adahah,0.545,3.0,adeh,
adeuh,A320H,adeh,0.889,1.0,adeh,
adeuh,A320H,aduh,0.889,1.0,adeh,aduh
adeuh,A320H,agah,0.444,3.0,adeh,
adeuh,A320H,agih,0.444,3.0,adeh,
adeuh,A320H,agihagih,0.308,6.0,adeh,
adeuh,A320H,ajeh,0.667,2.0,adeh,
adeuh,A320H,ajujah,0.545,4.0,adeh,
adeuh,A320H,akikah,0.364,4.0,adeh,
adeyyapa,A313A,ajiwaka,0.4,5.0,ajiwaka,
adhanom,A325M,adiasam,0.571,3.0,adiasam,
adhi,A320I,absisi,0.4,4.0,aduhai,
adhi,A320I,adisi,0.667,2.0,aduhai,
adhi,A320I,aduhai,0.8,2.0,aduhai,
adhiemassardi,A325I,absensi,0.2,9.0,absensi,
adian,A350N,abaian,0.727,2.0,adan,
adian,A350N,aban,0.667,2.0,adan,
adian,A350N,aben,0.444,3.0,adan,
adian,A350N,abon,0.444,3.0,adan,
adian,A350N,abuabuan,0.462,5.0,adan,
adian,A350N,abuan,0.6,2.0,adan,
adian,A350N,abun,0.444,3.0,adan,
adian,A350N,abunabun,0.462,5.0,adan,
adian,A350N,acan,0.667,2.0,adan,
adian,A350N,aciacian,0.615,4.0,adan,
adian,A350N,acian,0.8,1.0,adan,
adian,A350N,acoacoan,0.462,5.0,adan,
adian,A350N,acoan,0.6,2.0,adan,
adian,A350N,acuan,0.6,2.0,adan,
adian,A350N,adan,0.889,1.0,adan,
adian,A350N,adenin,0.727,3.0,adan,
adian,A350N,adnan,0.8,1.0,adan,
adian,A350N,adon,0.667,2.0,adan,
adian,A350N,adonan,0.727,2.0,adan,
adian,A350N,aduan,0.8,1.0,adan,
adian,A350N,adun,0.667,2.0,adan,
adian,A350N,adunan,0.727,2.0,adan,
adian,A350N,agan,0.667,2.0,adan,
adian,A350N,agen,0.444,3.0,adan,
adian,A350N,agon,0.444,3.0,adan,
adian,A350N,agun,0.444,3.0,adan,
adian,A350N,agunan,0.545,3.0,adan,
adian,A350N,ajuan,0.6,2.0,adan,
adian,A350N,ajun,0.444,3.0,adan,
adian,A350N,akan,0.667,2.0,adan,
adian,A350N,akanakan,0.462,5.0,adan,
adian,A350N,akanan,0.545,3.0,adan,
adiannapitupulu,A353U,abangmu,0.364,11.0,adindaku,
adiannapitupulu,A353U,adindaku,0.435,9.0,adindaku,
adiannapitupulu,A353U,agamaku,0.364,11.0,adindaku,
adiannapitupuluadian,A353N,abangan,0.37,15.0,abangan,
adiannapitupuluadian,A353N,acungkan,0.214,16.0,abangan,
adiannapitupuluadian,A353N,agungkan,0.214,16.0,abangan,
