kata alay,kode,kata kamus,sequence matcher,minimum edit distance,perbaikan kata,perbaikan kata 2
adiannapitupuluadian,A353N,ajengan,0.222,16.0,abangan,
adiannapitupuluadian,A353N,ajungan,0.222,16.0,abangan,
adidas,A320S,abas,0.6,3.0,adas,
adidas,A320S,abis,0.6,3.0,adas,
adidas,A320S,abses,0.364,4.0,adas,
adidas,A320S,absis,0.545,4.0,adas,
adidas,A320S,abus,0.4,4.0,adas,
adidas,A320S,adas,0.8,2.0,adas,
adidas,A320S,aedes,0.545,3.0,adas,
adidas,A320S,agas,0.6,3.0,adas,
adidas,A320S,agus,0.4,4.0,adas,
adidas,A320S,akas,0.6,3.0,adas,
adie,A300E,ade,0.857,1.0,ade,
adiep,A330P,acap,0.444,3.0,adap,
adiep,A330P,acapacap,0.308,6.0,adap,
adiep,A330P,adap,0.667,2.0,adap,
adiitoo,A330O,adagio,0.615,4.0,adagio,
adilberarti,A343I,aglutinasi,0.381,8.0,aglutinasi,
adilmenurut,A345T,aglomerat,0.6,6.0,aglomerat,
adimazadi,A352I,admisi,0.533,5.0,admisi,
adindakuh,A353H,agungkanlah,0.4,7.0,agungkanlah,
adindakuhtugas,A353S,admitans,0.455,10.0,akantus,
adindakuhtugas,A353S,akantus,0.476,9.0,akantus,
adindasoraya,A352A,adenostemma,0.348,7.0,adenostemma,
adindasoraya,A352A,agnosia,0.316,8.0,adenostemma,
adipatirafiki,A333I,abdikasi,0.476,9.0,adipati,
adipatirafiki,A333I,abduksi,0.3,11.0,adipati,
adipatirafiki,A333I,acapkali,0.19,9.0,adipati,
adipatirafiki,A333I,adaptasi,0.286,7.0,adipati,
adipatirafiki,A333I,adipati,0.7,6.0,adipati,
adiprasojopr,A336R,abatoar,0.211,8.0,agitator,
adiprasojopr,A336R,abtar,0.235,9.0,agitator,
adiprasojopr,A336R,abubakar,0.2,9.0,agitator,
adiprasojopr,A336R,agitator,0.3,7.0,agitator,
adiprasojopr,A336R,akbar,0.235,9.0,agitator,
adistri,A323I,abstinensi,0.471,7.0,abstraksi,
adistri,A323I,abstraksi,0.625,5.0,abstraksi,
adistri,A323I,adveksi,0.429,4.0,abstraksi,
adistri,A323I,advokasi,0.4,5.0,abstraksi,
adjgmvtqbales,A333S,adaptabilitas,0.462,9.0,adaptabilitas,
adjgmvtqbales,A333S,adiabatis,0.455,8.0,adaptabilitas,
adji,A330I,abadi,0.667,3.0,abdi,
adji,A330I,abdi,0.75,2.0,abdi,
adji,A330I,adaibadai,0.462,6.0,abdi,
adji,A330I,adati,0.667,2.0,abdi,
adjiksaenjaberdikari,A333I,abdikasi,0.5,13.0,abdikasi,
adjiksaenjaberdikari,A333I,abduksi,0.37,15.0,abdikasi,
adjiksaenjaberdikari,A333I,acapkali,0.357,15.0,abdikasi,
adjiksaenjaberdikari,A333I,adaptasi,0.214,15.0,abdikasi,
adjiksaenjaberdikari,A333I,adipati,0.37,15.0,abdikasi,
adl,A340L,abal,0.571,2.0,adil,
adl,A340L,abalabal,0.364,6.0,adil,
adl,A340L,abul,0.571,2.0,adil,
adl,A340L,adil,0.857,1.0,adil,
adl,A340L,agal,0.571,2.0,adil,
adl,A340L,agil,0.571,2.0,adil,
adl,A340L,agul,0.571,2.0,adil,
adl,A340L,ajal,0.571,2.0,adil,
adl,A340L,akal,0.571,2.0,adil,
adl,A340L,akil,0.571,2.0,adil,
adlah,A342H,abilah,0.727,2.0,adalah,
adlah,A342H,adalah,0.909,1.0,adalah,
adlah,A342H,adillah,0.833,2.0,adalah,
adlah,A342H,akalilah,0.615,4.0,adalah,
adlah,A342H,akliah,0.727,2.0,adalah,
adlh,A342H,abilah,0.6,3.0,adalah,
adlh,A342H,adalah,0.8,2.0,adalah,
adlh,A342H,adillah,0.727,3.0,adalah,
adlh,A342H,akalilah,0.5,5.0,adalah,
adlh,A342H,akliah,0.6,3.0,adalah,
adm,A350M,acum,0.571,2.0,adam,
adm,A350M,adam,0.857,1.0,adam,
adm,A350M,adem,0.857,1.0,adam,adem
adm,A350M,agam,0.571,2.0,adam,
admin,A355N,abonemen,0.462,5.0,acuman,
admin,A355N,acuman,0.545,3.0,acuman,
admin,A355N,agamen,0.545,3.0,acuman,agamen
administration,A355N,abonemen,0.273,11.0,acuman,
administration,A355N,acuman,0.3,11.0,acuman,
administration,A355N,agamen,0.3,11.0,acuman,agamen
adminkalau,A355U,adonanmu,0.444,5.0,adonanmu,
adminnya,A355A,abaimana,0.5,5.0,administrasinya,
adminnya,A355A,adenoma,0.533,4.0,administrasinya,
adminnya,A355A,adinamia,0.625,4.0,administrasinya,
adminnya,A355A,administrasinya,0.696,7.0,administrasinya,
adminnya,A355A,agamanya,0.625,4.0,administrasinya,
admintajur,A355R,administrator,0.696,5.0,administratur,
admintajur,A355R,administratur,0.783,4.0,administratur,
admit,A353T,agamet,0.545,3.0,agamet,
admit,A353T,akinet,0.545,4.0,agamet,akinet
admkdsqkali,A353I,ajnabi,0.353,8.0,akomodasi,
admkdsqkali,A353I,akomodasi,0.4,7.0,akomodasi,
adnankanedi,A353I,ajnabi,0.471,7.0,ajnabi,
adnankanedi,A353I,akomodasi,0.4,8.0,ajnabi,
adnanpurichta,A353A,abangga,0.4,9.0,agendanya,
adnanpurichta,A353A,abangnya,0.381,9.0,agendanya,
adnanpurichta,A353A,agenda,0.316,10.0,agendanya,
adnanpurichta,A353A,agendanya,0.455,10.0,agendanya,
adnanpurichta,A353A,akomodasinya,0.32,10.0,agendanya,
adnhsn,A352N,adenosin,0.714,3.0,adenosin,
adnhsnwaduh,A352H,akankah,0.333,7.0,akankah,
ado,A300O,aco,0.667,1.0,aco,
ado,A300O,agio,0.571,2.0,aco,
ado,A300O,agogo,0.5,3.0,aco,
ado,A300O,akeo,0.571,2.0,aco,
adobe,A330E,abate,0.6,3.0,abate,
adobe,A330E,abece,0.6,3.0,abate,abece
adobe,A330E,agape,0.4,3.0,abate,
adoh,A320H,abah,0.5,2.0,adeh,
adoh,A320H,abahabah,0.333,6.0,adeh,
adoh,A320H,abuh,0.5,2.0,adeh,
adoh,A320H,acah,0.5,2.0,adeh,
adoh,A320H,aceh,0.5,2.0,adeh,
adoh,A320H,acuh,0.5,2.0,adeh,
adoh,A320H,adahah,0.6,3.0,adeh,
adoh,A320H,adeh,0.75,1.0,adeh,
adoh,A320H,aduh,0.75,1.0,adeh,aduh
adoh,A320H,agah,0.5,2.0,adeh,
adoh,A320H,agih,0.5,2.0,adeh,
adoh,A320H,agihagih,0.333,6.0,adeh,
adoh,A320H,ajeh,0.5,2.0,adeh,
adoh,A320H,ajujah,0.4,4.0,adeh,
adoh,A320H,akikah,0.4,4.0,adeh,
adohengga,A325A,absensia,0.471,5.0,adventisia,
adohengga,A325A,acuhnya,0.5,5.0,adventisia,
adohengga,A325A,adventisia,0.526,6.0,adventisia,
adohengga,A325A,akhimya,0.375,6.0,adventisia,
adohhhhh,A320H,abah,0.333,6.0,adahah,
adohhhhh,A320H,abahabah,0.375,5.0,adahah,
adohhhhh,A320H,abuh,0.333,6.0,adahah,
adohhhhh,A320H,acah,0.333,6.0,adahah,
adohhhhh,A320H,aceh,0.333,6.0,adahah,
adohhhhh,A320H,acuh,0.333,6.0,adahah,
adohhhhh,A320H,adahah,0.571,4.0,adahah,
adohhhhh,A320H,adeh,0.5,5.0,adahah,
adohhhhh,A320H,aduh,0.5,5.0,adahah,
adohhhhh,A320H,agah,0.333,6.0,adahah,
adohhhhh,A320H,agih,0.333,6.0,adahah,
adohhhhh,A320H,agihagih,0.375,5.0,adahah,
adohhhhh,A320H,ajeh,0.333,6.0,adahah,
adohhhhh,A320H,ajujah,0.286,6.0,adahah,
adohhhhh,A320H,akikah,0.286,6.0,adahah,
adohmangga,A325A,absensia,0.222,7.0,akhimya,
adohmangga,A325A,acuhnya,0.353,6.0,akhimya,
adohmangga,A325A,adventisia,0.3,7.0,akhimya,
adohmangga,A325A,akhimya,0.471,7.0,akhimya,
adohngat,A325T,advent,0.571,4.0,advent,
adolescent,A342T,abulhayat,0.316,7.0,abulhayat,
adopsiboleh,A332H,abadiah,0.444,8.0,abadiah,
adopsiboleh,A332H,abduh,0.375,8.0,abadiah,
adopsiboleh,A332H,adabiah,0.444,7.0,abadiah,
adopsiboleh,A332H,adakah,0.353,8.0,abadiah,
adopsiboleh,A332H,agakagih,0.316,9.0,abadiah,
adopsiboleh,A332H,akidah,0.353,8.0,abadiah,
adopted,A333D,abjad,0.333,5.0,abjad,
adp,A330P,acap,0.571,2.0,adap,
adp,A330P,acapacap,0.364,6.0,adap,
adp,A330P,adap,0.857,1.0,adap,
adpbawa,A333A,adiboga,0.571,3.0,adiboga,
adpbawa,A333A,adicita,0.429,4.0,adiboga,
adpbawa,A333A,adjektiva,0.375,6.0,adiboga,
adpbawa,A333A,akibatnya,0.5,5.0,adiboga,
adpgini,A333I,abdikasi,0.533,5.0,adipati,
adpgini,A333I,abduksi,0.429,5.0,adipati,
adpgini,A333I,acapkali,0.4,5.0,adipati,
adpgini,A333I,adaptasi,0.533,4.0,adipati,
adpgini,A333I,adipati,0.571,4.0,adipati,
adpjaman,A333N,abadikan,0.5,5.0,abadikan,
adpjaman,A333N,akibatkan,0.471,5.0,abadikan,
adpnaah,A335H,adakanlah,0.625,4.0,adakanlah,
adpperbuatan,A336N,abdurrahman,0.522,8.0,abdurrahman,
adpperbuatan,A336N,abiturien,0.286,9.0,abdurrahman,
adpsaya,A332A,adatistiadatnya,0.545,9.0,adiposa,
adpsaya,A332A,adibusana,0.625,4.0,adiposa,
adpsaya,A332A,adikuasa,0.533,4.0,adiposa,
adpsaya,A332A,adiposa,0.714,4.0,adiposa,
adptraveloka,A333A,adiboga,0.316,8.0,adicita,
adptraveloka,A333A,adicita,0.421,9.0,adicita,
adptraveloka,A333A,adjektiva,0.381,9.0,adicita,
adptraveloka,A333A,akibatnya,0.286,9.0,adicita,
adr,A360R,abar,0.571,2.0,adar,
adr,A360R,abarabar,0.364,6.0,adar,
adr,A360R,abrar,0.5,3.0,adar,
adr,A360R,abur,0.571,2.0,adar,
adr,A360R,acar,0.571,2.0,adar,
adr,A360R,adar,0.857,1.0,adar,
adr,A360R,agar,0.571,2.0,adar,
adr,A360R,agaragar,0.364,6.0,adar,
adr,A360R,ajar,0.571,2.0,adar,
adr,A360R,ajarajar,0.364,6.0,adar,
adr,A360R,ajir,0.571,2.0,adar,
adr,A360R,ajur,0.571,2.0,adar,
adr,A360R,akar,0.571,2.0,adar,
adr,A360R,akarakar,0.364,6.0,adar,
adr,A360R,akor,0.571,2.0,adar,
adrea,A360A,acara,0.6,3.0,acara,
adrea,A360A,agiria,0.545,3.0,acara,
adrea,A360A,agraria,0.5,4.0,acara,
adria,A360A,acara,0.6,3.0,agiria,
adria,A360A,agiria,0.727,2.0,agiria,
adria,A360A,agraria,0.667,3.0,agiria,
adrian,A365N,abaran,0.667,3.0,adermin,
adrian,A365N,abrin,0.727,2.0,adermin,
adrian,A365N,adermin,0.769,3.0,adermin,
adrian,A365N,adrenalin,0.667,4.0,adermin,
adrian,A365N,adrenodoksin,0.556,8.0,adermin,
adrian,A365N,ajaran,0.667,3.0,adermin,
adrian,A365N,ajaranajaran,0.444,8.0,adermin,
adrian,A365N,akarakaran,0.5,6.0,adermin,
adrian,A365N,akaran,0.667,3.0,adermin,
adrian,A365N,akromatin,0.533,5.0,adermin,
adrian,A365N,akromion,0.571,4.0,adermin,
ads,A320S,abas,0.571,2.0,adas,
ads,A320S,abis,0.571,2.0,adas,
ads,A320S,abses,0.5,3.0,adas,
ads,A320S,absis,0.5,3.0,adas,
ads,A320S,abus,0.571,2.0,adas,
ads,A320S,adas,0.857,1.0,adas,
ads,A320S,aedes,0.75,2.0,adas,
ads,A320S,agas,0.571,2.0,adas,
ads,A320S,agus,0.571,2.0,adas,
ads,A320S,akas,0.571,2.0,adas,
adsense,A325E,absente,0.714,2.0,absente,
adsense,A325E,absenteisme,0.667,5.0,absente,
adsolsublimtxxi,A324I,absolusi,0.522,9.0,absolusi,
adsolsublimtxxi,A324I,akhlaki,0.273,12.0,absolusi,
adududu,A300U,abau,0.364,5.0,adu,
adududu,A300U,abu,0.4,5.0,adu,
adududu,A300U,abuabu,0.462,4.0,adu,
adududu,A300U,acau,0.364,5.0,adu,
adududu,A300U,acu,0.4,5.0,adu,
adududu,A300U,adu,0.6,4.0,adu,
adududu,A300U,aiku,0.364,5.0,adu,
adududu,A300U,aju,0.4,5.0,adu,
adudududu,A300U,abau,0.308,7.0,adu,
adudududu,A300U,abu,0.333,7.0,adu,
adudududu,A300U,abuabu,0.4,6.0,adu,
adudududu,A300U,acau,0.308,7.0,adu,
adudududu,A300U,acu,0.333,7.0,adu,
adudududu,A300U,adu,0.5,6.0,adu,
adudududu,A300U,aiku,0.308,7.0,adu,
adudududu,A300U,aju,0.333,7.0,adu,
aduhh,A320H,abah,0.444,3.0,aduh,
aduhh,A320H,abahabah,0.462,5.0,aduh,
aduhh,A320H,abuh,0.667,2.0,aduh,
aduhh,A320H,acah,0.444,3.0,aduh,
aduhh,A320H,aceh,0.444,3.0,aduh,
aduhh,A320H,acuh,0.667,2.0,aduh,
aduhh,A320H,adahah,0.727,2.0,aduh,
aduhh,A320H,adeh,0.667,2.0,aduh,
aduhh,A320H,aduh,0.889,1.0,aduh,
aduhh,A320H,agah,0.444,3.0,aduh,
aduhh,A320H,agih,0.444,3.0,aduh,
aduhh,A320H,agihagih,0.462,5.0,aduh,
aduhh,A320H,ajeh,0.444,3.0,aduh,
aduhh,A320H,ajujah,0.545,3.0,aduh,
aduhh,A320H,akikah,0.364,4.0,aduh,
aduhhh,A320H,abah,0.4,4.0,aduh,
aduhhh,A320H,abahabah,0.429,5.0,aduh,
aduhhh,A320H,abuh,0.6,3.0,aduh,
aduhhh,A320H,acah,0.4,4.0,aduh,
aduhhh,A320H,aceh,0.4,4.0,aduh,
aduhhh,A320H,acuh,0.6,3.0,aduh,
aduhhh,A320H,adahah,0.667,2.0,aduh,
aduhhh,A320H,adeh,0.6,3.0,aduh,
aduhhh,A320H,aduh,0.8,2.0,aduh,
aduhhh,A320H,agah,0.4,4.0,aduh,
aduhhh,A320H,agih,0.4,4.0,aduh,
aduhhh,A320H,agihagih,0.429,5.0,aduh,
aduhhh,A320H,ajeh,0.4,4.0,aduh,
aduhhh,A320H,ajujah,0.5,3.0,aduh,
aduhhh,A320H,akikah,0.333,4.0,aduh,
aduhsekolah,A322H,absah,0.5,7.0,absah,
aduin,A350N,abaian,0.545,3.0,adun,
aduin,A350N,aban,0.444,3.0,adun,
aduin,A350N,aben,0.444,3.0,adun,
aduin,A350N,abon,0.444,3.0,adun,
aduin,A350N,abuabuan,0.462,5.0,adun,
aduin,A350N,abuan,0.6,2.0,adun,
aduin,A350N,abun,0.667,2.0,adun,
aduin,A350N,abunabun,0.462,5.0,adun,
aduin,A350N,acan,0.444,3.0,adun,
aduin,A350N,aciacian,0.462,5.0,adun,
aduin,A350N,acian,0.6,3.0,adun,
aduin,A350N,acoacoan,0.308,6.0,adun,
aduin,A350N,acoan,0.4,3.0,adun,
aduin,A350N,acuan,0.6,2.0,adun,
aduin,A350N,adan,0.667,2.0,adun,
aduin,A350N,adenin,0.727,2.0,adun,
aduin,A350N,adnan,0.6,2.0,adun,
aduin,A350N,adon,0.667,2.0,adun,
aduin,A350N,adonan,0.545,3.0,adun,
aduin,A350N,aduan,0.8,1.0,adun,
aduin,A350N,adun,0.889,1.0,adun,
aduin,A350N,adunan,0.727,2.0,adun,
aduin,A350N,agan,0.444,3.0,adun,
aduin,A350N,agen,0.444,3.0,adun,
aduin,A350N,agon,0.444,3.0,adun,
aduin,A350N,agun,0.667,2.0,adun,
aduin,A350N,agunan,0.545,3.0,adun,
aduin,A350N,ajuan,0.6,2.0,adun,
aduin,A350N,ajun,0.667,2.0,adun,
aduin,A350N,akan,0.444,3.0,adun,
aduin,A350N,akanakan,0.308,6.0,adun,
aduin,A350N,akanan,0.364,4.0,adun,
adul,A340L,abal,0.5,2.0,abul,
adul,A340L,abalabal,0.333,6.0,abul,
adul,A340L,abul,0.75,1.0,abul,
adul,A340L,adil,0.75,1.0,abul,adil
adul,A340L,agal,0.5,2.0,abul,
adul,A340L,agil,0.5,2.0,abul,
adul,A340L,agul,0.75,1.0,abul,agul
adul,A340L,ajal,0.5,2.0,abul,
adul,A340L,akal,0.5,2.0,abul,
adul,A340L,akil,0.5,2.0,abul,
aduoh,A320H,abah,0.444,3.0,aduh,
aduoh,A320H,abahabah,0.308,6.0,aduh,
aduoh,A320H,abuh,0.667,2.0,aduh,
aduoh,A320H,acah,0.444,3.0,aduh,
aduoh,A320H,aceh,0.444,3.0,aduh,
aduoh,A320H,acuh,0.667,2.0,aduh,
aduoh,A320H,adahah,0.545,3.0,aduh,
aduoh,A320H,adeh,0.667,2.0,aduh,
aduoh,A320H,aduh,0.889,1.0,aduh,
aduoh,A320H,agah,0.444,3.0,aduh,
aduoh,A320H,agih,0.444,3.0,aduh,
aduoh,A320H,agihagih,0.308,6.0,aduh,
aduoh,A320H,ajeh,0.444,3.0,aduh,
aduoh,A320H,ajujah,0.545,3.0,aduh,
aduoh,A320H,akikah,0.364,4.0,aduh,
aduohminggat,A325T,advent,0.444,8.0,advent,
aduu,A300U,abau,0.5,2.0,adu,
aduu,A300U,abu,0.571,2.0,adu,
aduu,A300U,abuabu,0.6,3.0,adu,
aduu,A300U,acau,0.5,2.0,adu,
aduu,A300U,acu,0.571,2.0,adu,
aduu,A300U,adu,0.857,1.0,adu,
aduu,A300U,aiku,0.5,2.0,adu,
aduu,A300U,aju,0.571,2.0,adu,
advan,A325N,absen,0.4,3.0,adven,
advan,A325N,absonan,0.5,4.0,adven,
advan,A325N,abuhabuhan,0.4,7.0,adven,
advan,A325N,abuhan,0.545,3.0,adven,
advan,A325N,acuhan,0.545,3.0,adven,
advan,A325N,adven,0.8,1.0,adven,
advan,A325N,agihan,0.545,3.0,adven,
advan,A325N,ajufan,0.545,3.0,adven,
advania,A325A,absensia,0.533,4.0,adventisia,
advania,A325A,acuhnya,0.286,4.0,adventisia,
advania,A325A,adventisia,0.706,4.0,adventisia,
advania,A325A,akhimya,0.286,5.0,adventisia,
advantage,A325E,absente,0.5,5.0,absente,
advantage,A325E,absenteisme,0.4,7.0,absente,
adventure,A325E,absente,0.625,4.0,absente,
adventure,A325E,absenteisme,0.5,6.0,absente,
advert,A326T,absorbat,0.429,5.0,akherat,
advert,A326T,adsorbat,0.571,4.0,akherat,
advert,A326T,akherat,0.615,3.0,akherat,
advert,A326T,akhirat,0.462,4.0,akherat,
advertisement,A326T,absorbat,0.286,10.0,akherat,
advertisement,A326T,adsorbat,0.381,9.0,akherat,
advertisement,A326T,akherat,0.4,9.0,akherat,
advertisement,A326T,akhirat,0.3,10.0,akherat,
advgxkzqberikut,A323T,absit,0.4,11.0,advokat,
advgxkzqberikut,A323T,advokat,0.455,10.0,advokat,
advice,A323E,abstraksionisme,0.286,12.0,abstraksionisme,
advmieual,A325L,adisional,0.556,4.0,adisional,
advmieualterima,A325A,absensia,0.261,11.0,adventisia,
advmieualterima,A325A,acuhnya,0.273,12.0,adventisia,
advmieualterima,A325A,adventisia,0.4,8.0,adventisia,
advmieualterima,A325A,akhimya,0.364,12.0,adventisia,
advokasinya,A323A,abiseka,0.333,8.0,abiseka,
advokator,A323R,adihablur,0.444,6.0,akhbar,
advokator,A323R,ajuster,0.375,6.0,akhbar,
advokator,A323R,akhbar,0.533,6.0,akhbar,
adxokvyt,A323T,absit,0.308,6.0,advokat,
adxokvyt,A323T,advokat,0.667,3.0,advokat,
adxokvytbagaimana,A323A,abiseka,0.25,13.0,abiseka,
adzan,A325N,absen,0.4,3.0,adven,
adzan,A325N,absonan,0.5,4.0,adven,
adzan,A325N,abuhabuhan,0.4,7.0,adven,
adzan,A325N,abuhan,0.545,3.0,adven,
adzan,A325N,acuhan,0.545,3.0,adven,
adzan,A325N,adven,0.6,2.0,adven,
adzan,A325N,agihan,0.545,3.0,adven,
adzan,A325N,ajufan,0.545,3.0,adven,
adzanin,A325N,absen,0.333,5.0,adven,
adzanin,A325N,absonan,0.429,4.0,adven,
adzanin,A325N,abuhabuhan,0.353,7.0,adven,
adzanin,A325N,abuhan,0.462,5.0,adven,
adzanin,A325N,acuhan,0.462,5.0,adven,
adzanin,A325N,adven,0.5,4.0,adven,
adzanin,A325N,agihan,0.462,5.0,adven,
adzanin,A325N,ajufan,0.462,5.0,adven,
adzi,A320I,absisi,0.4,4.0,adisi,
adzi,A320I,adisi,0.667,2.0,adisi,
adzi,A320I,aduhai,0.6,3.0,adisi,
adziim,A325M,adiasam,0.615,4.0,adiasam,
adzim,A325M,adiasam,0.667,4.0,adiasam,
adzin,A325N,absen,0.4,3.0,adven,
adzin,A325N,absonan,0.333,5.0,adven,
adzin,A325N,abuhabuhan,0.267,8.0,adven,
adzin,A325N,abuhan,0.364,4.0,adven,
adzin,A325N,acuhan,0.364,4.0,adven,
adzin,A325N,adven,0.6,2.0,adven,
adzin,A325N,agihan,0.545,4.0,adven,
adzin,A325N,ajufan,0.364,4.0,adven,
aecepat,A333T,adekuat,0.571,4.0,adekuat,
aecepat,A333T,adiabat,0.429,4.0,adekuat,
aecepat,A333T,adibibit,0.267,6.0,adekuat,
aecepat,A333T,adpokat,0.571,4.0,adekuat,adpokat
aecepat,A333T,akibat,0.462,4.0,adekuat,
aeebcgmhppemerintah,A333H,abjadiah,0.37,14.0,ajaibkhanah,
aeebcgmhppemerintah,A333H,aditokoh,0.148,17.0,ajaibkhanah,
aeebcgmhppemerintah,A333H,ajaibkhanah,0.4,14.0,ajaibkhanah,
aegananya,A351A,abunya,0.533,5.0,agunannya,
aegananya,A351A,acinya,0.533,5.0,agunannya,
aegananya,A351A,acuannya,0.706,3.0,agunannya,
aegananya,A351A,adaadanya,0.667,3.0,agunannya,
aegananya,A351A,adanya,0.667,4.0,agunannya,
aegananya,A351A,adonannya,0.667,4.0,agunannya,
aegananya,A351A,agenagennya,0.7,5.0,agunannya,
aegananya,A351A,agunannya,0.778,3.0,agunannya,
aegananya,A351A,agungnya,0.706,3.0,agunannya,
aegananya,A351A,aibnya,0.533,5.0,agunannya,
aegausah,A322H,absah,0.615,4.0,absah,
aejancok,A353K,adenotropik,0.526,7.0,adenotropik,
aejbfrdzr,A332R,adjuster,0.353,6.0,adjuster,
aeko,A300O,aco,0.571,2.0,akeo,
aeko,A300O,agio,0.5,2.0,akeo,
aeko,A300O,agogo,0.444,3.0,akeo,
aeko,A300O,akeo,0.75,2.0,akeo,
aeon,A500N,ain,0.571,2.0,ain,
aepegi,A330I,abadi,0.364,4.0,abdi,
aepegi,A330I,abdi,0.4,4.0,abdi,
aepegi,A330I,adaibadai,0.267,7.0,abdi,
aepegi,A330I,adati,0.364,4.0,abdi,
aer,A600R,air,0.667,1.0,air,
aeterima,A365A,acaranya,0.375,6.0,agromania,
aeterima,A365A,agromania,0.471,7.0,agromania,
aeterima,A365A,ajarannya,0.353,7.0,agromania,
aeterima,A365A,akarnya,0.4,5.0,agromania,
aeterima,A365A,akromatoplasma,0.364,10.0,agromania,
aetxtkdyuk,A323K,abstrak,0.353,7.0,abstrak,
affair,A260R,afair,0.909,1.0,afair,
afgan,A235N,afganistan,0.667,5.0,afganistan,
afgan,A235N,ahkan,0.6,2.0,afganistan,
aflah,A242H,ahlusunah,0.286,5.0,ahlusunah,
africa,A263A,afrika,0.833,1.0,afrika,
afterdark,A236K,afdruk,0.533,5.0,afdruk,
aftkryxt,A233T,afektit,0.533,4.0,afektit,
aftkryxt,A233T,ahadiat,0.267,6.0,afektit,
aftkryxtglobal,A233L,afektifemosional,0.4,10.0,afektifemosional,
aga,A300A,aba,0.667,1.0,aba,
aga,A300A,abaaba,0.444,4.0,aba,
aga,A300A,ada,0.667,1.0,aba,ada
aga,A300A,aja,0.667,1.0,aba,aja
agai,A300I,abai,0.75,1.0,abai,
agai,A300I,abi,0.571,2.0,abai,
agai,A300I,aboi,0.5,2.0,abai,
agai,A300I,aci,0.571,2.0,abai,
agai,A300I,aciaci,0.6,3.0,abai,
agai,A300I,adi,0.571,2.0,abai,
agai,A300I,aji,0.571,2.0,abai,
agai,A300I,ajiaji,0.6,3.0,abai,
agai,A300I,aki,0.571,2.0,abai,
agai,A300I,akiaki,0.6,3.0,abai,
again,A350N,abaian,0.727,2.0,agan,
again,A350N,aban,0.667,2.0,agan,
again,A350N,aben,0.444,3.0,agan,
again,A350N,abon,0.444,3.0,agan,
again,A350N,abuabuan,0.462,5.0,agan,
again,A350N,abuan,0.6,3.0,agan,
again,A350N,abun,0.444,3.0,agan,
again,A350N,abunabun,0.462,5.0,agan,
again,A350N,acan,0.667,2.0,agan,
again,A350N,aciacian,0.615,4.0,agan,
again,A350N,acian,0.6,3.0,agan,
again,A350N,acoacoan,0.462,5.0,agan,
again,A350N,acoan,0.6,3.0,agan,
again,A350N,acuan,0.6,3.0,agan,
again,A350N,adan,0.667,2.0,agan,
again,A350N,adenin,0.545,3.0,agan,
again,A350N,adnan,0.6,3.0,agan,
again,A350N,adon,0.444,3.0,agan,
again,A350N,adonan,0.545,4.0,agan,
again,A350N,aduan,0.6,3.0,agan,
again,A350N,adun,0.444,3.0,agan,
again,A350N,adunan,0.545,4.0,agan,
again,A350N,agan,0.889,1.0,agan,
again,A350N,agen,0.667,2.0,agan,
again,A350N,agon,0.667,2.0,agan,
again,A350N,agun,0.667,2.0,agan,
again,A350N,agunan,0.727,3.0,agan,
again,A350N,ajuan,0.6,3.0,agan,
again,A350N,ajun,0.444,3.0,agan,
again,A350N,akan,0.667,2.0,agan,
again,A350N,akanakan,0.462,5.0,agan,
again,A350N,akanan,0.545,3.0,agan,
againaku,A353U,abangmu,0.4,4.0,agamaku,
againaku,A353U,adindaku,0.75,3.0,agamaku,
